IBI_time,IBI_intervals,start_time_unix
12.593750,0.765625,1629130737.0
13.296875,0.703125,1629130737.0
13.984375,0.687500,1629130737.0
14.687500,0.703125,1629130737.0
15.390625,0.703125,1629130737.0
16.078125,0.687500,1629130737.0
16.734375,0.656250,1629130737.0
17.406250,0.671875,1629130737.0
18.062500,0.656250,1629130737.0
18.750000,0.687500,1629130737.0
19.437500,0.687500,1629130737.0
20.109375,0.671875,1629130737.0
20.796875,0.687500,1629130737.0
21.531250,0.734375,1629130737.0
22.281250,0.750000,1629130737.0
22.968750,0.687500,1629130737.0
23.671875,0.703125,1629130737.0
24.390625,0.718750,1629130737.0
25.093750,0.703125,1629130737.0
25.781250,0.687500,1629130737.0
26.453125,0.671875,1629130737.0
27.140625,0.687500,1629130737.0
27.843750,0.703125,1629130737.0
28.546875,0.703125,1629130737.0
29.218750,0.671875,1629130737.0
29.921875,0.703125,1629130737.0
30.656250,0.734375,1629130737.0
36.453125,0.656250,1629130737.0
37.109375,0.656250,1629130737.0
37.796875,0.687500,1629130737.0
38.484375,0.687500,1629130737.0
39.234375,0.750000,1629130737.0
39.937500,0.703125,1629130737.0
40.718750,0.781250,1629130737.0
41.421875,0.703125,1629130737.0
42.109375,0.687500,1629130737.0
42.796875,0.687500,1629130737.0
43.500000,0.703125,1629130737.0
50.312500,0.703125,1629130737.0
51.000000,0.687500,1629130737.0
57.406250,0.718750,1629130737.0
58.093750,0.687500,1629130737.0
58.812500,0.718750,1629130737.0
78.031250,0.750000,1629130737.0
78.765625,0.734375,1629130737.0
79.484375,0.718750,1629130737.0
80.234375,0.750000,1629130737.0
80.937500,0.703125,1629130737.0
81.640625,0.703125,1629130737.0
82.328125,0.687500,1629130737.0
83.031250,0.703125,1629130737.0
83.718750,0.687500,1629130737.0
84.421875,0.703125,1629130737.0
85.156250,0.734375,1629130737.0
85.859375,0.703125,1629130737.0
86.562500,0.703125,1629130737.0
87.234375,0.671875,1629130737.0
87.890625,0.656250,1629130737.0
88.515625,0.625000,1629130737.0
89.171875,0.656250,1629130737.0
89.796875,0.625000,1629130737.0
90.437500,0.640625,1629130737.0
91.062500,0.625000,1629130737.0
99.750000,0.656250,1629130737.0
100.406250,0.656250,1629130737.0
101.062500,0.656250,1629130737.0
101.750000,0.687500,1629130737.0
102.421875,0.671875,1629130737.0
103.093750,0.671875,1629130737.0
103.781250,0.687500,1629130737.0
104.468750,0.687500,1629130737.0
105.140625,0.671875,1629130737.0
105.812500,0.671875,1629130737.0
106.484375,0.671875,1629130737.0
107.156250,0.671875,1629130737.0
107.812500,0.656250,1629130737.0
108.437500,0.625000,1629130737.0
109.109375,0.671875,1629130737.0
109.781250,0.671875,1629130737.0
110.437500,0.656250,1629130737.0
111.093750,0.656250,1629130737.0
111.734375,0.640625,1629130737.0
112.390625,0.656250,1629130737.0
113.031250,0.640625,1629130737.0
113.703125,0.671875,1629130737.0
114.343750,0.640625,1629130737.0
114.968750,0.625000,1629130737.0
115.609375,0.640625,1629130737.0
116.281250,0.671875,1629130737.0
117.109375,0.828125,1629130737.0
117.750000,0.640625,1629130737.0
118.406250,0.656250,1629130737.0
119.062500,0.656250,1629130737.0
119.750000,0.687500,1629130737.0
120.437500,0.687500,1629130737.0
121.109375,0.671875,1629130737.0
121.765625,0.656250,1629130737.0
122.437500,0.671875,1629130737.0
123.093750,0.656250,1629130737.0
128.437500,0.687500,1629130737.0
150.421875,0.671875,1629130737.0
151.109375,0.687500,1629130737.0
151.796875,0.687500,1629130737.0
152.531250,0.734375,1629130737.0
153.234375,0.703125,1629130737.0
153.906250,0.671875,1629130737.0
154.578125,0.671875,1629130737.0
155.250000,0.671875,1629130737.0
155.953125,0.703125,1629130737.0
160.812500,0.671875,1629130737.0
168.046875,0.609375,1629130737.0
196.015625,0.687500,1629130737.0
196.703125,0.687500,1629130737.0
197.343750,0.640625,1629130737.0
198.031250,0.687500,1629130737.0
198.687500,0.656250,1629130737.0
199.375000,0.687500,1629130737.0
200.046875,0.671875,1629130737.0
200.718750,0.671875,1629130737.0
201.390625,0.671875,1629130737.0
202.093750,0.703125,1629130737.0
205.609375,0.718750,1629130737.0
206.375000,0.765625,1629130737.0
207.093750,0.718750,1629130737.0
211.328125,0.671875,1629130737.0
215.578125,0.625000,1629130737.0
216.390625,0.812500,1629130737.0
217.046875,0.656250,1629130737.0
217.750000,0.703125,1629130737.0
218.484375,0.734375,1629130737.0
219.203125,0.718750,1629130737.0
219.921875,0.718750,1629130737.0
220.625000,0.703125,1629130737.0
221.312500,0.687500,1629130737.0
222.031250,0.718750,1629130737.0
222.703125,0.671875,1629130737.0
223.375000,0.671875,1629130737.0
224.078125,0.703125,1629130737.0
224.796875,0.718750,1629130737.0
225.546875,0.750000,1629130737.0
226.250000,0.703125,1629130737.0
226.953125,0.703125,1629130737.0
227.656250,0.703125,1629130737.0
228.359375,0.703125,1629130737.0
229.046875,0.687500,1629130737.0
236.234375,0.703125,1629130737.0
236.921875,0.687500,1629130737.0
237.640625,0.718750,1629130737.0
238.343750,0.703125,1629130737.0
239.015625,0.671875,1629130737.0
239.703125,0.687500,1629130737.0
240.390625,0.687500,1629130737.0
241.078125,0.687500,1629130737.0
241.750000,0.671875,1629130737.0
242.421875,0.671875,1629130737.0
243.093750,0.671875,1629130737.0
243.796875,0.703125,1629130737.0
244.468750,0.671875,1629130737.0
245.109375,0.640625,1629130737.0
245.781250,0.671875,1629130737.0
246.484375,0.703125,1629130737.0
247.171875,0.687500,1629130737.0
247.843750,0.671875,1629130737.0
248.500000,0.656250,1629130737.0
249.171875,0.671875,1629130737.0
249.843750,0.671875,1629130737.0
250.515625,0.671875,1629130737.0
251.171875,0.656250,1629130737.0
251.828125,0.656250,1629130737.0
252.484375,0.656250,1629130737.0
253.187500,0.703125,1629130737.0
253.906250,0.718750,1629130737.0
254.625000,0.718750,1629130737.0
259.218750,0.625000,1629130737.0
259.812500,0.593750,1629130737.0
260.406250,0.593750,1629130737.0
261.000000,0.593750,1629130737.0
261.609375,0.609375,1629130737.0
262.250000,0.640625,1629130737.0
