BVP,start_time_unix,sampling_rate
129.77,1629130737.0,64.0
136.75,1629130737.0,64.0
144.29,1629130737.0,64.0
150.58,1629130737.0,64.0
157.77,1629130737.0,64.0
166.64,1629130737.0,64.0
177.95,1629130737.0,64.0
191.79,1629130737.0,64.0
206.97,1629130737.0,64.0
220.57,1629130737.0,64.0
228.25,1629130737.0,64.0
225.36,1629130737.0,64.0
208.37,1629130737.0,64.0
176.87,1629130737.0,64.0
132.76,1629130737.0,64.0
80.05,1629130737.0,64.0
23.07,1629130737.0,64.0
-34.94,1629130737.0,64.0
-92.44,1629130737.0,64.0
-149.16,1629130737.0,64.0
-205.23,1629130737.0,64.0
-260.49,1629130737.0,64.0
-313.74,1629130737.0,64.0
-363.87,1629130737.0,64.0
-409.83,1629130737.0,64.0
-450.91,1629130737.0,64.0
-486.5,1629130737.0,64.0
-515.74,1629130737.0,64.0
-537.23,1629130737.0,64.0
-549.22,1629130737.0,64.0
-550.04,1629130737.0,64.0
-538.37,1629130737.0,64.0
-514.2,1629130737.0,64.0
-478.67,1629130737.0,64.0
-433.88,1629130737.0,64.0
-382.45,1629130737.0,64.0
-327.02,1629130737.0,64.0
-269.84,1629130737.0,64.0
-212.63,1629130737.0,64.0
-156.7,1629130737.0,64.0
-102.95,1629130737.0,64.0
-52.37,1629130737.0,64.0
-5.9,1629130737.0,64.0
35.58,1629130737.0,64.0
71.43,1629130737.0,64.0
101.35,1629130737.0,64.0
125.5,1629130737.0,64.0
144.38,1629130737.0,64.0
158.68,1629130737.0,64.0
169.15,1629130737.0,64.0
176.37,1629130737.0,64.0
180.75,1629130737.0,64.0
182.57,1629130737.0,64.0
182.07,1629130737.0,64.0
179.51,1629130737.0,64.0
175.23,1629130737.0,64.0
169.65,1629130737.0,64.0
163.18,1629130737.0,64.0
156.15,1629130737.0,64.0
148.81,1629130737.0,64.0
141.3,1629130737.0,64.0
133.69,1629130737.0,64.0
126.02,1629130737.0,64.0
118.33,1629130737.0,64.0
110.69,1629130737.0,64.0
103.16,1629130737.0,64.0
95.8,1629130737.0,64.0
88.68,1629130737.0,64.0
81.83,1629130737.0,64.0
75.25,1629130737.0,64.0
68.95,1629130737.0,64.0
62.95,1629130737.0,64.0
57.25,1629130737.0,64.0
51.86,1629130737.0,64.0
46.78,1629130737.0,64.0
42.03,1629130737.0,64.0
37.59,1629130737.0,64.0
33.45,1629130737.0,64.0
29.61,1629130737.0,64.0
26.07,1629130737.0,64.0
22.81,1629130737.0,64.0
19.82,1629130737.0,64.0
17.11,1629130737.0,64.0
14.67,1629130737.0,64.0
12.48,1629130737.0,64.0
10.54,1629130737.0,64.0
8.83,1629130737.0,64.0
7.35,1629130737.0,64.0
6.07,1629130737.0,64.0
4.97,1629130737.0,64.0
4.05,1629130737.0,64.0
3.27,1629130737.0,64.0
2.62,1629130737.0,64.0
2.09,1629130737.0,64.0
1.65,1629130737.0,64.0
1.3,1629130737.0,64.0
1.01,1629130737.0,64.0
0.79,1629130737.0,64.0
0.61,1629130737.0,64.0
0.47,1629130737.0,64.0
0.37,1629130737.0,64.0
0.29,1629130737.0,64.0
0.23,1629130737.0,64.0
0.18,1629130737.0,64.0
0.16,1629130737.0,64.0
0.14,1629130737.0,64.0
0.13,1629130737.0,64.0
0.14,1629130737.0,64.0
0.15,1629130737.0,64.0
0.17,1629130737.0,64.0
0.19,1629130737.0,64.0
0.22,1629130737.0,64.0
0.26,1629130737.0,64.0
0.3,1629130737.0,64.0
0.34,1629130737.0,64.0
0.38,1629130737.0,64.0
0.43,1629130737.0,64.0
0.47,1629130737.0,64.0
0.52,1629130737.0,64.0
0.57,1629130737.0,64.0
0.62,1629130737.0,64.0
0.68,1629130737.0,64.0
0.73,1629130737.0,64.0
0.8,1629130737.0,64.0
0.87,1629130737.0,64.0
0.94,1629130737.0,64.0
1.02,1629130737.0,64.0
1.11,1629130737.0,64.0
1.22,1629130737.0,64.0
1.33,1629130737.0,64.0
1.45,1629130737.0,64.0
1.6,1629130737.0,64.0
1.75,1629130737.0,64.0
1.93,1629130737.0,64.0
2.13,1629130737.0,64.0
2.35,1629130737.0,64.0
2.59,1629130737.0,64.0
2.86,1629130737.0,64.0
3.16,1629130737.0,64.0
3.48,1629130737.0,64.0
3.84,1629130737.0,64.0
4.23,1629130737.0,64.0
4.65,1629130737.0,64.0
5.11,1629130737.0,64.0
5.61,1629130737.0,64.0
6.14,1629130737.0,64.0
6.72,1629130737.0,64.0
7.33,1629130737.0,64.0
7.99,1629130737.0,64.0
8.7,1629130737.0,64.0
9.44,1629130737.0,64.0
10.24,1629130737.0,64.0
11.08,1629130737.0,64.0
11.96,1629130737.0,64.0
12.89,1629130737.0,64.0
13.87,1629130737.0,64.0
14.91,1629130737.0,64.0
16.01,1629130737.0,64.0
17.17,1629130737.0,64.0
18.39,1629130737.0,64.0
19.65,1629130737.0,64.0
20.92,1629130737.0,64.0
22.13,1629130737.0,64.0
23.22,1629130737.0,64.0
24.09,1629130737.0,64.0
24.63,1629130737.0,64.0
24.7,1629130737.0,64.0
24.22,1629130737.0,64.0
23.07,1629130737.0,64.0
21.22,1629130737.0,64.0
18.67,1629130737.0,64.0
15.45,1629130737.0,64.0
11.64,1629130737.0,64.0
7.43,1629130737.0,64.0
2.99,1629130737.0,64.0
-1.48,1629130737.0,64.0
-5.77,1629130737.0,64.0
-9.67,1629130737.0,64.0
-13.02,1629130737.0,64.0
-15.69,1629130737.0,64.0
-17.62,1629130737.0,64.0
-18.8,1629130737.0,64.0
-19.25,1629130737.0,64.0
-19.1,1629130737.0,64.0
-18.48,1629130737.0,64.0
-17.52,1629130737.0,64.0
-16.34,1629130737.0,64.0
-15.02,1629130737.0,64.0
-13.59,1629130737.0,64.0
-12.08,1629130737.0,64.0
-10.48,1629130737.0,64.0
-8.77,1629130737.0,64.0
-7.03,1629130737.0,64.0
-5.32,1629130737.0,64.0
-3.66,1629130737.0,64.0
-2.06,1629130737.0,64.0
-0.48,1629130737.0,64.0
1.13,1629130737.0,64.0
2.85,1629130737.0,64.0
4.74,1629130737.0,64.0
6.87,1629130737.0,64.0
9.09,1629130737.0,64.0
11.27,1629130737.0,64.0
13.35,1629130737.0,64.0
15.31,1629130737.0,64.0
17.23,1629130737.0,64.0
19.23,1629130737.0,64.0
21.44,1629130737.0,64.0
24.0,1629130737.0,64.0
26.98,1629130737.0,64.0
30.02,1629130737.0,64.0
32.84,1629130737.0,64.0
35.28,1629130737.0,64.0
37.33,1629130737.0,64.0
39.14,1629130737.0,64.0
41.06,1629130737.0,64.0
43.46,1629130737.0,64.0
46.58,1629130737.0,64.0
50.54,1629130737.0,64.0
54.68,1629130737.0,64.0
58.42,1629130737.0,64.0
61.32,1629130737.0,64.0
63.25,1629130737.0,64.0
64.43,1629130737.0,64.0
65.37,1629130737.0,64.0
66.63,1629130737.0,64.0
68.56,1629130737.0,64.0
71.24,1629130737.0,64.0
73.62,1629130737.0,64.0
74.7,1629130737.0,64.0
73.67,1629130737.0,64.0
