EDA,start_time_unix,sampling_rate
0.0,1626117634.0,4.0
0.178116,1626117634.0,4.0
0.233216,1626117634.0,4.0
0.235779,1626117634.0,4.0
0.237061,1626117634.0,4.0
0.238342,1626117634.0,4.0
0.239623,1626117634.0,4.0
0.238342,1626117634.0,4.0
0.237061,1626117634.0,4.0
0.237061,1626117634.0,4.0
0.235779,1626117634.0,4.0
0.237061,1626117634.0,4.0
0.237061,1626117634.0,4.0
0.237061,1626117634.0,4.0
0.235779,1626117634.0,4.0
0.235779,1626117634.0,4.0
0.234498,1626117634.0,4.0
0.237061,1626117634.0,4.0
0.235779,1626117634.0,4.0
0.234498,1626117634.0,4.0
0.233216,1626117634.0,4.0
0.234498,1626117634.0,4.0
0.231935,1626117634.0,4.0
0.233216,1626117634.0,4.0
0.231935,1626117634.0,4.0
0.233216,1626117634.0,4.0
0.235779,1626117634.0,4.0
0.230654,1626117634.0,4.0
0.233216,1626117634.0,4.0
0.230654,1626117634.0,4.0
0.230654,1626117634.0,4.0
0.230654,1626117634.0,4.0
0.229372,1626117634.0,4.0
0.228091,1626117634.0,4.0
0.229372,1626117634.0,4.0
0.230654,1626117634.0,4.0
0.230654,1626117634.0,4.0
0.233216,1626117634.0,4.0
0.229372,1626117634.0,4.0
0.229372,1626117634.0,4.0
0.229372,1626117634.0,4.0
0.228091,1626117634.0,4.0
0.228091,1626117634.0,4.0
0.228091,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.228091,1626117634.0,4.0
0.228091,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.231935,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.228091,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.224246,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.226809,1626117634.0,4.0
0.225528,1626117634.0,4.0
0.224246,1626117634.0,4.0
