BVP,start_time_unix,sampling_rate
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.0,1624704223.0,64.0
0.0,1624704223.0,64.0
0.01,1624704223.0,64.0
0.01,1624704223.0,64.0
-0.0,1624704223.0,64.0
-0.03,1624704223.0,64.0
-0.05,1624704223.0,64.0
-0.05,1624704223.0,64.0
0.0,1624704223.0,64.0
0.13,1624704223.0,64.0
0.36,1624704223.0,64.0
0.66,1624704223.0,64.0
1.01,1624704223.0,64.0
1.37,1624704223.0,64.0
1.72,1624704223.0,64.0
2.06,1624704223.0,64.0
2.4,1624704223.0,64.0
2.79,1624704223.0,64.0
3.24,1624704223.0,64.0
3.8,1624704223.0,64.0
4.42,1624704223.0,64.0
5.06,1624704223.0,64.0
5.66,1624704223.0,64.0
6.2,1624704223.0,64.0
6.68,1624704223.0,64.0
7.15,1624704223.0,64.0
7.68,1624704223.0,64.0
8.31,1624704223.0,64.0
9.14,1624704223.0,64.0
10.09,1624704223.0,64.0
11.04,1624704223.0,64.0
11.88,1624704223.0,64.0
12.56,1624704223.0,64.0
13.14,1624704223.0,64.0
13.76,1624704223.0,64.0
14.65,1624704223.0,64.0
15.96,1624704223.0,64.0
17.91,1624704223.0,64.0
20.32,1624704223.0,64.0
22.9,1624704223.0,64.0
25.38,1624704223.0,64.0
27.58,1624704223.0,64.0
29.57,1624704223.0,64.0
31.68,1624704223.0,64.0
34.32,1624704223.0,64.0
37.81,1624704223.0,64.0
42.54,1624704223.0,64.0
48.15,1624704223.0,64.0
54.1,1624704223.0,64.0
59.83,1624704223.0,64.0
64.97,1624704223.0,64.0
69.58,1624704223.0,64.0
74.14,1624704223.0,64.0
79.34,1624704223.0,64.0
85.71,1624704223.0,64.0
93.76,1624704223.0,64.0
103.0,1624704223.0,64.0
112.62,1624704223.0,64.0
121.73,1624704223.0,64.0
129.77,1624704223.0,64.0
136.75,1624704223.0,64.0
143.3,1624704223.0,64.0
150.75,1624704223.0,64.0
157.77,1624704223.0,64.0
166.64,1624704223.0,64.0
177.95,1624704223.0,64.0
191.79,1624704223.0,64.0
206.97,1624704223.0,64.0
220.57,1624704223.0,64.0
228.25,1624704223.0,64.0
225.36,1624704223.0,64.0
208.53,1624704223.0,64.0
176.87,1624704223.0,64.0
132.76,1624704223.0,64.0
80.05,1624704223.0,64.0
23.07,1624704223.0,64.0
-34.94,1624704223.0,64.0
-92.44,1624704223.0,64.0
-149.16,1624704223.0,64.0
-205.23,1624704223.0,64.0
-260.37,1624704223.0,64.0
-313.74,1624704223.0,64.0
-363.87,1624704223.0,64.0
-409.83,1624704223.0,64.0
-450.91,1624704223.0,64.0
-486.5,1624704223.0,64.0
-515.74,1624704223.0,64.0
-537.23,1624704223.0,64.0
-549.22,1624704223.0,64.0
-549.96,1624704223.0,64.0
-538.37,1624704223.0,64.0
-514.21,1624704223.0,64.0
-478.67,1624704223.0,64.0
-433.88,1624704223.0,64.0
-382.45,1624704223.0,64.0
-327.02,1624704223.0,64.0
-269.84,1624704223.0,64.0
-212.63,1624704223.0,64.0
-156.66,1624704223.0,64.0
-102.95,1624704223.0,64.0
-52.37,1624704223.0,64.0
-5.9,1624704223.0,64.0
35.58,1624704223.0,64.0
71.43,1624704223.0,64.0
101.35,1624704223.0,64.0
125.5,1624704223.0,64.0
144.38,1624704223.0,64.0
158.69,1624704223.0,64.0
169.15,1624704223.0,64.0
176.37,1624704223.0,64.0
180.75,1624704223.0,64.0
182.57,1624704223.0,64.0
182.07,1624704223.0,64.0
179.51,1624704223.0,64.0
175.23,1624704223.0,64.0
169.65,1624704223.0,64.0
163.18,1624704223.0,64.0
156.15,1624704223.0,64.0
148.81,1624704223.0,64.0
141.3,1624704223.0,64.0
133.69,1624704223.0,64.0
126.02,1624704223.0,64.0
118.33,1624704223.0,64.0
110.69,1624704223.0,64.0
103.16,1624704223.0,64.0
95.8,1624704223.0,64.0
88.68,1624704223.0,64.0
81.83,1624704223.0,64.0
75.25,1624704223.0,64.0
68.95,1624704223.0,64.0
62.95,1624704223.0,64.0
57.25,1624704223.0,64.0
51.86,1624704223.0,64.0
46.78,1624704223.0,64.0
42.03,1624704223.0,64.0
37.59,1624704223.0,64.0
33.45,1624704223.0,64.0
29.61,1624704223.0,64.0
26.07,1624704223.0,64.0
22.81,1624704223.0,64.0
19.82,1624704223.0,64.0
17.11,1624704223.0,64.0
14.67,1624704223.0,64.0
12.48,1624704223.0,64.0
10.55,1624704223.0,64.0
8.85,1624704223.0,64.0
7.38,1624704223.0,64.0
6.12,1624704223.0,64.0
5.05,1624704223.0,64.0
4.15,1624704223.0,64.0
3.4,1624704223.0,64.0
2.79,1624704223.0,64.0
2.3,1624704223.0,64.0
1.91,1624704223.0,64.0
1.6,1624704223.0,64.0
1.37,1624704223.0,64.0
1.2,1624704223.0,64.0
1.08,1624704223.0,64.0
0.99,1624704223.0,64.0
0.94,1624704223.0,64.0
0.92,1624704223.0,64.0
0.92,1624704223.0,64.0
0.93,1624704223.0,64.0
0.97,1624704223.0,64.0
1.01,1624704223.0,64.0
1.07,1624704223.0,64.0
1.15,1624704223.0,64.0
1.23,1624704223.0,64.0
1.33,1624704223.0,64.0
1.44,1624704223.0,64.0
1.56,1624704223.0,64.0
1.71,1624704223.0,64.0
1.87,1624704223.0,64.0
2.05,1624704223.0,64.0
2.25,1624704223.0,64.0
2.48,1624704223.0,64.0
2.73,1624704223.0,64.0
3.01,1624704223.0,64.0
3.32,1624704223.0,64.0
3.66,1624704223.0,64.0
4.04,1624704223.0,64.0
4.45,1624704223.0,64.0
4.9,1624704223.0,64.0
5.39,1624704223.0,64.0
5.91,1624704223.0,64.0
6.48,1624704223.0,64.0
7.1,1624704223.0,64.0
7.76,1624704223.0,64.0
8.46,1624704223.0,64.0
9.22,1624704223.0,64.0
10.02,1624704223.0,64.0
10.87,1624704223.0,64.0
11.77,1624704223.0,64.0
12.73,1624704223.0,64.0
13.73,1624704223.0,64.0
14.78,1624704223.0,64.0
15.89,1624704223.0,64.0
17.08,1624704223.0,64.0
18.33,1624704223.0,64.0
19.65,1624704223.0,64.0
21.02,1624704223.0,64.0
22.43,1624704223.0,64.0
23.82,1624704223.0,64.0
25.13,1624704223.0,64.0
26.25,1624704223.0,64.0
27.08,1624704223.0,64.0
27.46,1624704223.0,64.0
27.28,1624704223.0,64.0
26.42,1624704223.0,64.0
24.8,1624704223.0,64.0
22.38,1624704223.0,64.0
19.19,1624704223.0,64.0
15.27,1624704223.0,64.0
10.78,1624704223.0,64.0
5.89,1624704223.0,64.0
0.82,1624704223.0,64.0
-4.22,1624704223.0,64.0
-8.99,1624704223.0,64.0
-13.29,1624704223.0,64.0
-16.94,1624704223.0,64.0
-19.82,1624704223.0,64.0
-21.88,1624704223.0,64.0
-23.09,1624704223.0,64.0
-23.54,1624704223.0,64.0
-23.34,1624704223.0,64.0
-22.62,1624704223.0,64.0
-21.49,1624704223.0,64.0
-20.08,1624704223.0,64.0
-18.44,1624704223.0,64.0
-16.61,1624704223.0,64.0
-14.62,1624704223.0,64.0
-12.48,1624704223.0,64.0
-10.27,1624704223.0,64.0
-8.07,1624704223.0,64.0
-5.93,1624704223.0,64.0
-3.86,1624704223.0,64.0
-1.86,1624704223.0,64.0
0.13,1624704223.0,64.0
2.2,1624704223.0,64.0
4.39,1624704223.0,64.0
6.77,1624704223.0,64.0
9.2,1624704223.0,64.0
11.57,1624704223.0,64.0
13.77,1624704223.0,64.0
15.78,1624704223.0,64.0
17.64,1624704223.0,64.0
19.49,1624704223.0,64.0
21.51,1624704223.0,64.0
23.87,1624704223.0,64.0
