EDA,start_time_unix,sampling_rate
0.0,1624704226.0,4.0
0.838918,1624704226.0,4.0
1.183718,1624704226.0,4.0
1.346447,1624704226.0,4.0
1.340043,1624704226.0,4.0
1.331078,1624704226.0,4.0
1.323393,1624704226.0,4.0
1.313147,1624704226.0,4.0
1.308024,1624704226.0,4.0
1.30162,1624704226.0,4.0
1.295216,1624704226.0,4.0
1.288812,1624704226.0,4.0
1.284969,1624704226.0,4.0
1.282408,1624704226.0,4.0
1.277285,1624704226.0,4.0
1.272161,1624704226.0,4.0
1.2696,1624704226.0,4.0
1.265758,1624704226.0,4.0
1.258073,1624704226.0,4.0
1.242703,1624704226.0,4.0
1.238861,1624704226.0,4.0
1.229895,1624704226.0,4.0
1.222211,1624704226.0,4.0
1.209403,1624704226.0,4.0
1.20556,1624704226.0,4.0
1.20428,1624704226.0,4.0
1.211964,1624704226.0,4.0
1.219649,1624704226.0,4.0
1.227334,1624704226.0,4.0
1.232457,1624704226.0,4.0
1.231176,1624704226.0,4.0
1.231176,1624704226.0,4.0
1.224772,1624704226.0,4.0
1.228615,1624704226.0,4.0
1.256792,1624704226.0,4.0
1.250388,1624704226.0,4.0
1.246546,1624704226.0,4.0
1.258073,1624704226.0,4.0
1.267038,1624704226.0,4.0
1.281127,1624704226.0,4.0
1.276004,1624704226.0,4.0
1.272161,1624704226.0,4.0
1.264477,1624704226.0,4.0
1.2696,1624704226.0,4.0
1.276004,1624704226.0,4.0
1.284969,1624704226.0,4.0
1.268319,1624704226.0,4.0
1.288812,1624704226.0,4.0
1.278565,1624704226.0,4.0
1.241423,1624704226.0,4.0
1.206841,1624704226.0,4.0
1.192752,1624704226.0,4.0
1.202999,1624704226.0,4.0
1.200437,1624704226.0,4.0
1.20428,1624704226.0,4.0
1.250388,1624704226.0,4.0
1.299058,1624704226.0,4.0
1.328516,1624704226.0,4.0
1.31827,1624704226.0,4.0
1.288812,1624704226.0,4.0
1.274723,1624704226.0,4.0
1.264477,1624704226.0,4.0
1.261915,1624704226.0,4.0
1.255511,1624704226.0,4.0
1.224772,1624704226.0,4.0
1.168417,1624704226.0,4.0
1.147925,1624704226.0,4.0
1.621817,1624704226.0,4.0
1.582212,1624704226.0,4.0
1.432359,1624704226.0,4.0
1.341423,1624704226.0,4.0
1.279945,1624704226.0,4.0
1.254329,1624704226.0,4.0
1.265857,1624704226.0,4.0
1.318369,1624704226.0,4.0
1.381128,1624704226.0,4.0
1.452852,1624704226.0,4.0
1.57837,1624704226.0,4.0
1.632163,1624704226.0,4.0
1.778173,1624704226.0,4.0
1.85374,1624704226.0,4.0
1.847336,1624704226.0,4.0
1.843493,1624704226.0,4.0
1.811474,1624704226.0,4.0
1.75768,1624704226.0,4.0
1.683395,1624704226.0,4.0
1.665463,1624704226.0,4.0
1.62704,1624704226.0,4.0
1.588616,1624704226.0,4.0
1.559158,1624704226.0,4.0
1.533542,1624704226.0,4.0
1.516892,1624704226.0,4.0
1.488714,1624704226.0,4.0
1.498961,1624704226.0,4.0
1.464379,1624704226.0,4.0
1.419551,1624704226.0,4.0
1.376005,1624704226.0,4.0
1.359354,1624704226.0,4.0
1.365758,1624704226.0,4.0
1.35167,1624704226.0,4.0
1.347827,1624704226.0,4.0
1.364478,1624704226.0,4.0
1.367039,1624704226.0,4.0
1.356793,1624704226.0,4.0
1.350389,1624704226.0,4.0
1.350389,1624704226.0,4.0
1.347827,1624704226.0,4.0
1.364478,1624704226.0,4.0
1.369601,1624704226.0,4.0
1.315807,1624704226.0,4.0
1.315807,1624704226.0,4.0
1.324773,1624704226.0,4.0
1.327335,1624704226.0,4.0
1.332458,1624704226.0,4.0
1.305561,1624704226.0,4.0
1.301719,1624704226.0,4.0
1.31965,1624704226.0,4.0
1.314527,1624704226.0,4.0
1.291472,1624704226.0,4.0
1.229994,1624704226.0,4.0
1.218467,1624704226.0,4.0
1.253049,1624704226.0,4.0
1.264576,1624704226.0,4.0
1.192851,1624704226.0,4.0
1.178763,1624704226.0,4.0
1.168516,1624704226.0,4.0
1.155709,1624704226.0,4.0
1.150585,1624704226.0,4.0
1.144181,1624704226.0,4.0
1.133935,1624704226.0,4.0
1.12497,1624704226.0,4.0
1.119846,1624704226.0,4.0
1.112162,1624704226.0,4.0
1.104477,1624704226.0,4.0
1.098073,1624704226.0,4.0
1.091669,1624704226.0,4.0
1.086546,1624704226.0,4.0
1.082703,1624704226.0,4.0
1.080142,1624704226.0,4.0
1.076299,1624704226.0,4.0
1.071176,1624704226.0,4.0
1.066053,1624704226.0,4.0
1.064772,1624704226.0,4.0
1.055807,1624704226.0,4.0
1.049403,1624704226.0,4.0
1.04428,1624704226.0,4.0
1.042999,1624704226.0,4.0
1.034033,1624704226.0,4.0
1.02891,1624704226.0,4.0
1.022506,1624704226.0,4.0
1.014822,1624704226.0,4.0
1.013541,1624704226.0,4.0
1.008417,1624704226.0,4.0
1.004575,1624704226.0,4.0
1.000733,1624704226.0,4.0
0.99689,1624704226.0,4.0
0.99561,1624704226.0,4.0
0.986644,1624704226.0,4.0
0.985363,1624704226.0,4.0
0.98024,1624704226.0,4.0
0.976398,1624704226.0,4.0
0.971275,1624704226.0,4.0
0.969994,1624704226.0,4.0
0.96359,1624704226.0,4.0
0.962309,1624704226.0,4.0
0.954624,1624704226.0,4.0
0.950782,1624704226.0,4.0
0.981422,1624704226.0,4.0
0.97758,1624704226.0,4.0
0.971176,1624704226.0,4.0
0.967333,1624704226.0,4.0
0.964772,1624704226.0,4.0
0.964772,1624704226.0,4.0
0.959648,1624704226.0,4.0
0.954525,1624704226.0,4.0
0.953244,1624704226.0,4.0
0.949402,1624704226.0,4.0
0.94556,1624704226.0,4.0
0.941717,1624704226.0,4.0
0.937875,1624704226.0,4.0
0.935313,1624704226.0,4.0
0.931471,1624704226.0,4.0
0.928909,1624704226.0,4.0
0.926348,1624704226.0,4.0
0.921225,1624704226.0,4.0
0.940437,1624704226.0,4.0
0.946841,1624704226.0,4.0
0.949402,1624704226.0,4.0
0.946841,1624704226.0,4.0
0.942998,1624704226.0,4.0
0.944279,1624704226.0,4.0
0.942998,1624704226.0,4.0
0.946841,1624704226.0,4.0
0.931471,1624704226.0,4.0
0.926348,1624704226.0,4.0
0.927629,1624704226.0,4.0
0.928909,1624704226.0,4.0
0.931471,1624704226.0,4.0
0.925067,1624704226.0,4.0
0.931471,1624704226.0,4.0
0.928909,1624704226.0,4.0
