TEMP,start_time_unix,sampling_rate
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
28.97,1635111146.0,4.0
28.97,1635111146.0,4.0
28.97,1635111146.0,4.0
28.97,1635111146.0,4.0
28.97,1635111146.0,4.0
28.97,1635111146.0,4.0
28.97,1635111146.0,4.0
28.97,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
28.99,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.01,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.03,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.05,1635111146.0,4.0
29.03,1635111146.0,4.0
