TEMP,start_time_unix,sampling_rate
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.53,1630810581.0,4.0
31.55,1630810581.0,4.0
31.55,1630810581.0,4.0
31.55,1630810581.0,4.0
31.55,1630810581.0,4.0
31.55,1630810581.0,4.0
31.55,1630810581.0,4.0
31.55,1630810581.0,4.0
31.55,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.57,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.59,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.61,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.63,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.65,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.67,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.69,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
31.71,1630810581.0,4.0
