BVP,start_time_unix,sampling_rate
4.71,1624876821.0,64.0
5.17,1624876821.0,64.0
5.67,1624876821.0,64.0
6.21,1624876821.0,64.0
6.79,1624876821.0,64.0
7.41,1624876821.0,64.0
8.08,1624876821.0,64.0
8.78,1624876821.0,64.0
9.53,1624876821.0,64.0
10.33,1624876821.0,64.0
11.18,1624876821.0,64.0
12.07,1624876821.0,64.0
13.0,1624876821.0,64.0
13.98,1624876821.0,64.0
15.03,1624876821.0,64.0
16.14,1624876821.0,64.0
17.31,1624876821.0,64.0
18.55,1624876821.0,64.0
19.81,1624876821.0,64.0
21.08,1624876821.0,64.0
22.3,1624876821.0,64.0
23.39,1624876821.0,64.0
24.24,1624876821.0,64.0
24.75,1624876821.0,64.0
24.79,1624876821.0,64.0
24.23,1624876821.0,64.0
23.01,1624876821.0,64.0
21.06,1624876821.0,64.0
18.4,1624876821.0,64.0
15.08,1624876821.0,64.0
11.18,1624876821.0,64.0
6.88,1624876821.0,64.0
2.37,1624876821.0,64.0
-2.13,1624876821.0,64.0
-6.41,1624876821.0,64.0
-10.27,1624876821.0,64.0
-13.54,1624876821.0,64.0
-16.11,1624876821.0,64.0
-17.92,1624876821.0,64.0
-18.97,1624876821.0,64.0
-19.28,1624876821.0,64.0
-18.97,1624876821.0,64.0
-18.12,1624876821.0,64.0
-16.88,1624876821.0,64.0
-15.34,1624876821.0,64.0
-13.63,1624876821.0,64.0
-11.84,1624876821.0,64.0
-10.03,1624876821.0,64.0
-8.27,1624876821.0,64.0
-6.56,1624876821.0,64.0
-4.94,1624876821.0,64.0
-3.39,1624876821.0,64.0
-1.86,1624876821.0,64.0
-0.3,1624876821.0,64.0
1.32,1624876821.0,64.0
3.03,1624876821.0,64.0
4.82,1624876821.0,64.0
6.7,1624876821.0,64.0
8.7,1624876821.0,64.0
10.75,1624876821.0,64.0
12.84,1624876821.0,64.0
15.02,1624876821.0,64.0
17.37,1624876821.0,64.0
19.92,1624876821.0,64.0
22.67,1624876821.0,64.0
25.61,1624876821.0,64.0
28.7,1624876821.0,64.0
32.01,1624876821.0,64.0
35.31,1624876821.0,64.0
38.6,1624876821.0,64.0
41.95,1624876821.0,64.0
45.48,1624876821.0,64.0
49.26,1624876821.0,64.0
53.26,1624876821.0,64.0
57.35,1624876821.0,64.0
61.46,1624876821.0,64.0
65.59,1624876821.0,64.0
69.45,1624876821.0,64.0
73.07,1624876821.0,64.0
76.71,1624876821.0,64.0
80.65,1624876821.0,64.0
85.02,1624876821.0,64.0
89.72,1624876821.0,64.0
94.4,1624876821.0,64.0
98.66,1624876821.0,64.0
102.31,1624876821.0,64.0
104.78,1624876821.0,64.0
106.1,1624876821.0,64.0
106.58,1624876821.0,64.0
106.52,1624876821.0,64.0
105.78,1624876821.0,64.0
103.56,1624876821.0,64.0
98.22,1624876821.0,64.0
87.32,1624876821.0,64.0
72.97,1624876821.0,64.0
55.73,1624876821.0,64.0
36.46,1624876821.0,64.0
16.32,1624876821.0,64.0
-3.56,1624876821.0,64.0
-22.47,1624876821.0,64.0
-40.3,1624876821.0,64.0
-57.51,1624876821.0,64.0
-74.91,1624876821.0,64.0
-93.28,1624876821.0,64.0
-114.05,1624876821.0,64.0
-137.98,1624876821.0,64.0
-164.83,1624876821.0,64.0
-192.98,1624876821.0,64.0
-219.22,1624876821.0,64.0
-239.4,1624876821.0,64.0
-249.64,1624876821.0,64.0
-247.77,1624876821.0,64.0
-234.18,1624876821.0,64.0
-212.37,1624876821.0,64.0
-186.88,1624876821.0,64.0
-161.79,1624876821.0,64.0
-139.37,1624876821.0,64.0
-119.93,1624876821.0,64.0
-102.45,1624876821.0,64.0
-85.94,1624876821.0,64.0
-70.33,1624876821.0,64.0
-56.62,1624876821.0,64.0
-46.71,1624876821.0,64.0
-42.09,1624876821.0,64.0
-43.15,1624876821.0,64.0
-49.01,1624876821.0,64.0
-57.79,1624876821.0,64.0
-67.27,1624876821.0,64.0
-75.42,1624876821.0,64.0
-80.83,1624876821.0,64.0
-82.74,1624876821.0,64.0
-81.04,1624876821.0,64.0
-75.88,1624876821.0,64.0
-67.59,1624876821.0,64.0
-56.79,1624876821.0,64.0
-44.48,1624876821.0,64.0
-31.86,1624876821.0,64.0
-20.06,1624876821.0,64.0
-9.78,1624876821.0,64.0
-1.06,1624876821.0,64.0
6.58,1624876821.0,64.0
13.84,1624876821.0,64.0
21.38,1624876821.0,64.0
29.49,1624876821.0,64.0
38.23,1624876821.0,64.0
47.37,1624876821.0,64.0
56.52,1624876821.0,64.0
65.16,1624876821.0,64.0
72.58,1624876821.0,64.0
78.12,1624876821.0,64.0
81.31,1624876821.0,64.0
82.24,1624876821.0,64.0
81.55,1624876821.0,64.0
80.26,1624876821.0,64.0
79.49,1624876821.0,64.0
79.92,1624876821.0,64.0
81.54,1624876821.0,64.0
83.54,1624876821.0,64.0
84.57,1624876821.0,64.0
83.11,1624876821.0,64.0
78.07,1624876821.0,64.0
69.19,1624876821.0,64.0
57.28,1624876821.0,64.0
44.0,1624876821.0,64.0
31.41,1624876821.0,64.0
21.42,1624876821.0,64.0
15.35,1624876821.0,64.0
13.62,1624876821.0,64.0
15.72,1624876821.0,64.0
20.29,1624876821.0,64.0
25.37,1624876821.0,64.0
28.75,1624876821.0,64.0
28.5,1624876821.0,64.0
23.64,1624876821.0,64.0
14.55,1624876821.0,64.0
3.05,1624876821.0,64.0
-8.21,1624876821.0,64.0
-16.62,1624876821.0,64.0
-20.58,1624876821.0,64.0
-19.97,1624876821.0,64.0
-15.88,1624876821.0,64.0
-9.91,1624876821.0,64.0
-3.45,1624876821.0,64.0
2.84,1624876821.0,64.0
8.93,1624876821.0,64.0
14.92,1624876821.0,64.0
20.51,1624876821.0,64.0
24.96,1624876821.0,64.0
27.39,1624876821.0,64.0
27.22,1624876821.0,64.0
24.47,1624876821.0,64.0
19.69,1624876821.0,64.0
13.63,1624876821.0,64.0
6.85,1624876821.0,64.0
-0.46,1624876821.0,64.0
-8.28,1624876821.0,64.0
-16.34,1624876821.0,64.0
-24.03,1624876821.0,64.0
-30.39,1624876821.0,64.0
-34.51,1624876821.0,64.0
-35.95,1624876821.0,64.0
-34.92,1624876821.0,64.0
-32.19,1624876821.0,64.0
-28.62,1624876821.0,64.0
-24.89,1624876821.0,64.0
-21.34,1624876821.0,64.0
-18.04,1624876821.0,64.0
-14.95,1624876821.0,64.0
-12.02,1624876821.0,64.0
-9.17,1624876821.0,64.0
-6.22,1624876821.0,64.0
-2.94,1624876821.0,64.0
0.9,1624876821.0,64.0
5.44,1624876821.0,64.0
10.6,1624876821.0,64.0
16.11,1624876821.0,64.0
21.6,1624876821.0,64.0
26.61,1624876821.0,64.0
30.57,1624876821.0,64.0
32.82,1624876821.0,64.0
32.76,1624876821.0,64.0
30.12,1624876821.0,64.0
25.1,1624876821.0,64.0
18.45,1624876821.0,64.0
11.3,1624876821.0,64.0
4.68,1624876821.0,64.0
-0.77,1624876821.0,64.0
-5.07,1624876821.0,64.0
-8.66,1624876821.0,64.0
-12.19,1624876821.0,64.0
-16.06,1624876821.0,64.0
-20.3,1624876821.0,64.0
-24.52,1624876821.0,64.0
-28.1,1624876821.0,64.0
-30.45,1624876821.0,64.0
-31.18,1624876821.0,64.0
-30.26,1624876821.0,64.0
-27.96,1624876821.0,64.0
-24.74,1624876821.0,64.0
-21.08,1624876821.0,64.0
-17.35,1624876821.0,64.0
-13.82,1624876821.0,64.0
-10.76,1624876821.0,64.0
-8.55,1624876821.0,64.0
-7.6,1624876821.0,64.0
-8.25,1624876821.0,64.0
-10.47,1624876821.0,64.0
-13.77,1624876821.0,64.0
-17.26,1624876821.0,64.0
-19.94,1624876821.0,64.0
-21.08,1624876821.0,64.0
-20.39,1624876821.0,64.0
-18.11,1624876821.0,64.0
-14.69,1624876821.0,64.0
-10.71,1624876821.0,64.0
-6.79,1624876821.0,64.0
-3.7,1624876821.0,64.0
-2.31,1624876821.0,64.0
-3.44,1624876821.0,64.0
-7.55,1624876821.0,64.0
-14.41,1624876821.0,64.0
-23.04,1624876821.0,64.0
-32.04,1624876821.0,64.0
-39.98,1624876821.0,64.0
-45.83,1624876821.0,64.0
-49.09,1624876821.0,64.0
-49.63,1624876821.0,64.0
-47.44,1624876821.0,64.0
-42.52,1624876821.0,64.0
-34.95,1624876821.0,64.0
-25.1,1624876821.0,64.0
-13.76,1624876821.0,64.0
-2.03,1624876821.0,64.0
8.88,1624876821.0,64.0
18.02,1624876821.0,64.0
24.85,1624876821.0,64.0
29.31,1624876821.0,64.0
31.61,1624876821.0,64.0
32.12,1624876821.0,64.0
31.18,1624876821.0,64.0
29.06,1624876821.0,64.0
25.98,1624876821.0,64.0
22.21,1624876821.0,64.0
18.06,1624876821.0,64.0
13.93,1624876821.0,64.0
10.18,1624876821.0,64.0
7.12,1624876821.0,64.0
4.88,1624876821.0,64.0
3.41,1624876821.0,64.0
2.55,1624876821.0,64.0
2.04,1624876821.0,64.0
1.68,1624876821.0,64.0
1.32,1624876821.0,64.0
0.81,1624876821.0,64.0
0.03,1624876821.0,64.0
-1.25,1624876821.0,64.0
-3.37,1624876821.0,64.0
-6.62,1624876821.0,64.0
-11.06,1624876821.0,64.0
-16.36,1624876821.0,64.0
-21.7,1624876821.0,64.0
-25.89,1624876821.0,64.0
-27.75,1624876821.0,64.0
-26.42,1624876821.0,64.0
-21.7,1624876821.0,64.0
-14.07,1624876821.0,64.0
-4.57,1624876821.0,64.0
5.5,1624876821.0,64.0
14.92,1624876821.0,64.0
22.75,1624876821.0,64.0
28.38,1624876821.0,64.0
31.52,1624876821.0,64.0
32.18,1624876821.0,64.0
30.66,1624876821.0,64.0
27.46,1624876821.0,64.0
23.27,1624876821.0,64.0
18.81,1624876821.0,64.0
14.67,1624876821.0,64.0
11.2,1624876821.0,64.0
8.51,1624876821.0,64.0
6.51,1624876821.0,64.0
5.05,1624876821.0,64.0
3.96,1624876821.0,64.0
3.1,1624876821.0,64.0
2.34,1624876821.0,64.0
1.54,1624876821.0,64.0
0.5,1624876821.0,64.0
-0.95,1624876821.0,64.0
-2.92,1624876821.0,64.0
-5.4,1624876821.0,64.0
-8.39,1624876821.0,64.0
-11.91,1624876821.0,64.0
-15.99,1624876821.0,64.0
-20.58,1624876821.0,64.0
-25.34,1624876821.0,64.0
-29.53,1624876821.0,64.0
-32.11,1624876821.0,64.0
-32.02,1624876821.0,64.0
-28.54,1624876821.0,64.0
-21.68,1624876821.0,64.0
-12.22,1624876821.0,64.0
-1.47,1624876821.0,64.0
9.1,1624876821.0,64.0
18.25,1624876821.0,64.0
25.16,1624876821.0,64.0
29.52,1624876821.0,64.0
31.36,1624876821.0,64.0
30.93,1624876821.0,64.0
28.65,1624876821.0,64.0
25.03,1624876821.0,64.0
20.7,1624876821.0,64.0
16.27,1624876821.0,64.0
12.27,1624876821.0,64.0
9.07,1624876821.0,64.0
6.83,1624876821.0,64.0
5.49,1624876821.0,64.0
4.8,1624876821.0,64.0
4.46,1624876821.0,64.0
4.14,1624876821.0,64.0
3.58,1624876821.0,64.0
2.65,1624876821.0,64.0
1.31,1624876821.0,64.0
-0.45,1624876821.0,64.0
-2.62,1624876821.0,64.0
-5.27,1624876821.0,64.0
-8.55,1624876821.0,64.0
-12.61,1624876821.0,64.0
-17.53,1624876821.0,64.0
-23.07,1624876821.0,64.0
-28.64,1624876821.0,64.0
-33.21,1624876821.0,64.0
-35.58,1624876821.0,64.0
-34.71,1624876821.0,64.0
-30.12,1624876821.0,64.0
-22.18,1624876821.0,64.0
-12.04,1624876821.0,64.0
-1.29,1624876821.0,64.0
8.62,1624876821.0,64.0
16.7,1624876821.0,64.0
22.61,1624876821.0,64.0
26.42,1624876821.0,64.0
28.32,1624876821.0,64.0
28.41,1624876821.0,64.0
26.7,1624876821.0,64.0
23.38,1624876821.0,64.0
18.95,1624876821.0,64.0
14.26,1624876821.0,64.0
10.25,1624876821.0,64.0
7.53,1624876821.0,64.0
6.24,1624876821.0,64.0
5.91,1624876821.0,64.0
5.87,1624876821.0,64.0
5.53,1624876821.0,64.0
4.66,1624876821.0,64.0
3.37,1624876821.0,64.0
1.94,1624876821.0,64.0
0.59,1624876821.0,64.0
-0.71,1624876821.0,64.0
-2.19,1624876821.0,64.0
-4.21,1624876821.0,64.0
-7.09,1624876821.0,64.0
-10.96,1624876821.0,64.0
-15.64,1624876821.0,64.0
-20.64,1624876821.0,64.0
-25.11,1624876821.0,64.0
-28.06,1624876821.0,64.0
-28.5,1624876821.0,64.0
-25.79,1624876821.0,64.0
-19.96,1624876821.0,64.0
-11.67,1624876821.0,64.0
-2.1,1624876821.0,64.0
7.4,1624876821.0,64.0
15.67,1624876821.0,64.0
22.0,1624876821.0,64.0
26.03,1624876821.0,64.0
27.75,1624876821.0,64.0
27.29,1624876821.0,64.0
24.86,1624876821.0,64.0
20.83,1624876821.0,64.0
15.84,1624876821.0,64.0
10.7,1624876821.0,64.0
6.23,1624876821.0,64.0
3.04,1624876821.0,64.0
1.29,1624876821.0,64.0
0.72,1624876821.0,64.0
0.78,1624876821.0,64.0
0.91,1624876821.0,64.0
0.76,1624876821.0,64.0
0.16,1624876821.0,64.0
-0.86,1624876821.0,64.0
-2.26,1624876821.0,64.0
-4.1,1624876821.0,64.0
-6.5,1624876821.0,64.0
-9.62,1624876821.0,64.0
-13.58,1624876821.0,64.0
-18.37,1624876821.0,64.0
-23.75,1624876821.0,64.0
-29.21,1624876821.0,64.0
-33.92,1624876821.0,64.0
-36.88,1624876821.0,64.0
-37.07,1624876821.0,64.0
-33.89,1624876821.0,64.0
-27.32,1624876821.0,64.0
-18.05,1624876821.0,64.0
-7.3,1624876821.0,64.0
3.54,1624876821.0,64.0
13.24,1624876821.0,64.0
20.92,1624876821.0,64.0
26.17,1624876821.0,64.0
28.89,1624876821.0,64.0
29.21,1624876821.0,64.0
27.45,1624876821.0,64.0
24.07,1624876821.0,64.0
19.74,1624876821.0,64.0
15.18,1624876821.0,64.0
11.11,1624876821.0,64.0
8.03,1624876821.0,64.0
6.11,1624876821.0,64.0
5.21,1624876821.0,64.0
4.96,1624876821.0,64.0
4.95,1624876821.0,64.0
4.82,1624876821.0,64.0
4.43,1624876821.0,64.0
3.73,1624876821.0,64.0
2.76,1624876821.0,64.0
1.52,1624876821.0,64.0
-0.09,1624876821.0,64.0
-2.3,1624876821.0,64.0
-5.45,1624876821.0,64.0
-9.82,1624876821.0,64.0
-15.42,1624876821.0,64.0
-21.78,1624876821.0,64.0
-27.94,1624876821.0,64.0
-32.51,1624876821.0,64.0
-34.12,1624876821.0,64.0
-31.9,1624876821.0,64.0
-25.8,1624876821.0,64.0
-16.69,1624876821.0,64.0
-6.02,1624876821.0,64.0
4.54,1624876821.0,64.0
13.7,1624876821.0,64.0
20.7,1624876821.0,64.0
25.34,1624876821.0,64.0
27.72,1624876821.0,64.0
28.09,1624876821.0,64.0
26.68,1624876821.0,64.0
23.79,1624876821.0,64.0
19.86,1624876821.0,64.0
15.49,1624876821.0,64.0
11.36,1624876821.0,64.0
8.02,1624876821.0,64.0
5.74,1624876821.0,64.0
4.43,1624876821.0,64.0
3.74,1624876821.0,64.0
3.23,1624876821.0,64.0
2.58,1624876821.0,64.0
1.64,1624876821.0,64.0
0.43,1624876821.0,64.0
-0.91,1624876821.0,64.0
-2.3,1624876821.0,64.0
-3.81,1624876821.0,64.0
-5.67,1624876821.0,64.0
-8.22,1624876821.0,64.0
-11.76,1624876821.0,64.0
-16.42,1624876821.0,64.0
-22.02,1624876821.0,64.0
-27.9,1624876821.0,64.0
-33.02,1624876821.0,64.0
-36.12,1624876821.0,64.0
-36.08,1624876821.0,64.0
-32.3,1624876821.0,64.0
-24.95,1624876821.0,64.0
-15.0,1624876821.0,64.0
-3.95,1624876821.0,64.0
6.7,1624876821.0,64.0
15.83,1624876821.0,64.0
22.92,1624876821.0,64.0
27.92,1624876821.0,64.0
30.95,1624876821.0,64.0
32.11,1624876821.0,64.0
31.32,1624876821.0,64.0
28.59,1624876821.0,64.0
24.22,1624876821.0,64.0
18.95,1624876821.0,64.0
13.82,1624876821.0,64.0
9.84,1624876821.0,64.0
7.54,1624876821.0,64.0
6.84,1624876821.0,64.0
7.07,1624876821.0,64.0
7.4,1624876821.0,64.0
7.17,1624876821.0,64.0
6.12,1624876821.0,64.0
4.4,1624876821.0,64.0
2.36,1624876821.0,64.0
0.31,1624876821.0,64.0
-1.61,1624876821.0,64.0
-3.42,1624876821.0,64.0
-5.36,1624876821.0,64.0
-7.69,1624876821.0,64.0
-10.71,1624876821.0,64.0
-14.64,1624876821.0,64.0
-19.53,1624876821.0,64.0
-25.08,1624876821.0,64.0
-30.57,1624876821.0,64.0
-34.92,1624876821.0,64.0
-36.91,1624876821.0,64.0
-35.59,1624876821.0,64.0
-30.62,1624876821.0,64.0
-22.42,1624876821.0,64.0
-12.13,1624876821.0,64.0
-1.17,1624876821.0,64.0
9.05,1624876821.0,64.0
17.53,1624876821.0,64.0
23.75,1624876821.0,64.0
27.63,1624876821.0,64.0
29.31,1624876821.0,64.0
