TEMP,start_time_unix,sampling_rate
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.39,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.37,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.34,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.29,1626193513.0,4.0
32.29,1626193513.0,4.0
32.29,1626193513.0,4.0
32.29,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.33,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
32.31,1626193513.0,4.0
