ACC_X,ACC_Y,ACC_Z,start_time_unix,sampling_rate
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-36,13,52,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-35,13,52,1623718791.0,32.000000
-36,13,52,1623718791.0,32.000000
-35,13,52,1623718791.0,32.000000
-37,14,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-35,12,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-37,14,52,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,52,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-37,14,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,13,52,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-35,14,54,1623718791.0,32.000000
-35,14,52,1623718791.0,32.000000
-36,14,51,1623718791.0,32.000000
-37,14,52,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,13,53,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,13,52,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-37,14,52,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-35,13,52,1623718791.0,32.000000
-36,14,53,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-36,14,52,1623718791.0,32.000000
-35,14,53,1623718791.0,32.000000
-35,14,52,1623718791.0,32.000000
-37,13,52,1623718791.0,32.000000
-35,12,52,1623718791.0,32.000000
-35,13,53,1623718791.0,32.000000
-37,12,52,1623718791.0,32.000000
-37,12,53,1623718791.0,32.000000
-37,12,52,1623718791.0,32.000000
-36,11,53,1623718791.0,32.000000
-36,10,53,1623718791.0,32.000000
-37,12,54,1623718791.0,32.000000
-35,12,52,1623718791.0,32.000000
-36,10,53,1623718791.0,32.000000
-34,10,54,1623718791.0,32.000000
-32,9,56,1623718791.0,32.000000
-30,9,56,1623718791.0,32.000000
-30,10,57,1623718791.0,32.000000
-31,9,58,1623718791.0,32.000000
-29,8,58,1623718791.0,32.000000
-32,6,57,1623718791.0,32.000000
-30,6,57,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,7,57,1623718791.0,32.000000
-31,9,56,1623718791.0,32.000000
-29,9,56,1623718791.0,32.000000
-28,8,58,1623718791.0,32.000000
-27,8,58,1623718791.0,32.000000
-28,7,58,1623718791.0,32.000000
-30,8,58,1623718791.0,32.000000
-29,7,58,1623718791.0,32.000000
-28,7,58,1623718791.0,32.000000
-29,8,57,1623718791.0,32.000000
-29,8,57,1623718791.0,32.000000
-28,7,58,1623718791.0,32.000000
-28,7,58,1623718791.0,32.000000
-28,7,58,1623718791.0,32.000000
-28,7,58,1623718791.0,32.000000
-29,7,58,1623718791.0,32.000000
-27,7,58,1623718791.0,32.000000
-28,8,57,1623718791.0,32.000000
-28,8,58,1623718791.0,32.000000
-28,7,58,1623718791.0,32.000000
-27,6,59,1623718791.0,32.000000
-26,6,58,1623718791.0,32.000000
-28,6,58,1623718791.0,32.000000
-26,5,60,1623718791.0,32.000000
-24,5,59,1623718791.0,32.000000
-26,5,59,1623718791.0,32.000000
-27,6,58,1623718791.0,32.000000
-28,6,58,1623718791.0,32.000000
-27,6,59,1623718791.0,32.000000
-26,5,59,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-27,6,61,1623718791.0,32.000000
-26,2,58,1623718791.0,32.000000
-26,4,59,1623718791.0,32.000000
-27,5,59,1623718791.0,32.000000
-23,2,59,1623718791.0,32.000000
-19,0,61,1623718791.0,32.000000
-36,7,58,1623718791.0,32.000000
-26,9,59,1623718791.0,32.000000
-24,2,58,1623718791.0,32.000000
-27,8,61,1623718791.0,32.000000
-26,5,59,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-26,4,59,1623718791.0,32.000000
-26,5,60,1623718791.0,32.000000
-24,1,60,1623718791.0,32.000000
-25,2,56,1623718791.0,32.000000
-27,9,62,1623718791.0,32.000000
-26,5,59,1623718791.0,32.000000
-26,6,59,1623718791.0,32.000000
-26,6,60,1623718791.0,32.000000
-25,5,58,1623718791.0,32.000000
-26,5,58,1623718791.0,32.000000
-25,6,59,1623718791.0,32.000000
-21,6,59,1623718791.0,32.000000
-25,2,58,1623718791.0,32.000000
-26,6,60,1623718791.0,32.000000
-25,6,61,1623718791.0,32.000000
-24,7,60,1623718791.0,32.000000
-29,7,59,1623718791.0,32.000000
-26,9,58,1623718791.0,32.000000
-27,7,57,1623718791.0,32.000000
-22,5,60,1623718791.0,32.000000
-14,7,61,1623718791.0,32.000000
-21,9,61,1623718791.0,32.000000
-23,8,60,1623718791.0,32.000000
-17,5,61,1623718791.0,32.000000
-23,8,63,1623718791.0,32.000000
-23,8,61,1623718791.0,32.000000
-24,7,61,1623718791.0,32.000000
-21,8,62,1623718791.0,32.000000
-10,5,64,1623718791.0,32.000000
-18,5,62,1623718791.0,32.000000
-28,9,62,1623718791.0,32.000000
-29,9,61,1623718791.0,32.000000
-25,4,59,1623718791.0,32.000000
-34,4,47,1623718791.0,32.000000
-27,6,58,1623718791.0,32.000000
-25,6,58,1623718791.0,32.000000
-28,5,57,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-27,6,59,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-29,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-27,6,58,1623718791.0,32.000000
-27,5,58,1623718791.0,32.000000
-28,6,58,1623718791.0,32.000000
-27,6,58,1623718791.0,32.000000
-27,5,59,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-27,5,58,1623718791.0,32.000000
-27,3,59,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,6,58,1623718791.0,32.000000
-27,5,59,1623718791.0,32.000000
-27,5,59,1623718791.0,32.000000
-27,5,58,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-28,5,59,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-26,4,59,1623718791.0,32.000000
-27,5,59,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,4,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-28,4,59,1623718791.0,32.000000
-28,4,59,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-27,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,59,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-26,3,59,1623718791.0,32.000000
-28,3,59,1623718791.0,32.000000
-27,3,59,1623718791.0,32.000000
-25,4,59,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-28,4,59,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-27,6,59,1623718791.0,32.000000
-28,3,58,1623718791.0,32.000000
-28,5,59,1623718791.0,32.000000
-25,3,58,1623718791.0,32.000000
-26,5,59,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-27,6,58,1623718791.0,32.000000
-26,5,59,1623718791.0,32.000000
-26,5,58,1623718791.0,32.000000
-30,5,57,1623718791.0,32.000000
-33,4,57,1623718791.0,32.000000
-35,5,56,1623718791.0,32.000000
-31,4,57,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-27,4,59,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-31,4,57,1623718791.0,32.000000
-26,4,59,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-33,6,57,1623718791.0,32.000000
-35,7,56,1623718791.0,32.000000
-28,5,57,1623718791.0,32.000000
-30,5,58,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-30,6,58,1623718791.0,32.000000
-28,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-30,6,57,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-30,7,57,1623718791.0,32.000000
-30,6,57,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,6,57,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-28,6,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,57,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-29,6,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,57,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-28,4,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-28,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-29,5,58,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,57,1623718791.0,32.000000
-30,5,57,1623718791.0,32.000000
-31,4,57,1623718791.0,32.000000
-32,4,57,1623718791.0,32.000000
-33,4,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-28,5,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-33,5,55,1623718791.0,32.000000
-34,4,56,1623718791.0,32.000000
-32,4,56,1623718791.0,32.000000
-32,4,56,1623718791.0,32.000000
-34,5,56,1623718791.0,32.000000
-33,5,56,1623718791.0,32.000000
-33,5,56,1623718791.0,32.000000
-33,6,56,1623718791.0,32.000000
-33,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,57,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,5,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-32,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,5,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-32,6,57,1623718791.0,32.000000
-32,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-30,6,57,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,6,56,1623718791.0,32.000000
-31,6,57,1623718791.0,32.000000
-31,5,57,1623718791.0,32.000000
-32,6,57,1623718791.0,32.000000
-31,5,56,1623718791.0,32.000000
-32,5,56,1623718791.0,32.000000
-32,6,56,1623718791.0,32.000000
-33,5,57,1623718791.0,32.000000
-34,6,56,1623718791.0,32.000000
-26,7,59,1623718791.0,32.000000
-21,5,60,1623718791.0,32.000000
-26,8,59,1623718791.0,32.000000
-21,7,60,1623718791.0,32.000000
-19,6,60,1623718791.0,32.000000
-20,8,60,1623718791.0,32.000000
-20,7,61,1623718791.0,32.000000
-19,7,61,1623718791.0,32.000000
-21,7,60,1623718791.0,32.000000
-19,6,61,1623718791.0,32.000000
-18,7,61,1623718791.0,32.000000
-25,6,60,1623718791.0,32.000000
-27,7,59,1623718791.0,32.000000
-18,8,61,1623718791.0,32.000000
-22,7,61,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-20,6,61,1623718791.0,32.000000
-20,7,60,1623718791.0,32.000000
-20,7,61,1623718791.0,32.000000
-21,7,60,1623718791.0,32.000000
-21,6,61,1623718791.0,32.000000
-18,5,60,1623718791.0,32.000000
-21,7,60,1623718791.0,32.000000
-19,7,61,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-19,5,61,1623718791.0,32.000000
-19,6,61,1623718791.0,32.000000
-18,6,61,1623718791.0,32.000000
-20,5,61,1623718791.0,32.000000
-19,6,61,1623718791.0,32.000000
-18,6,61,1623718791.0,32.000000
-19,6,60,1623718791.0,32.000000
-21,6,61,1623718791.0,32.000000
-20,6,60,1623718791.0,32.000000
-19,6,61,1623718791.0,32.000000
-19,6,61,1623718791.0,32.000000
-23,5,61,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-20,6,61,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-20,6,61,1623718791.0,32.000000
-20,6,61,1623718791.0,32.000000
-20,6,61,1623718791.0,32.000000
-21,6,61,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-20,5,61,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-21,6,61,1623718791.0,32.000000
-21,6,61,1623718791.0,32.000000
-21,5,61,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-21,6,61,1623718791.0,32.000000
-22,6,61,1623718791.0,32.000000
-21,5,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-24,7,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-22,5,61,1623718791.0,32.000000
-21,5,61,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-22,5,60,1623718791.0,32.000000
-22,5,60,1623718791.0,32.000000
-21,4,61,1623718791.0,32.000000
-22,5,61,1623718791.0,32.000000
-23,6,59,1623718791.0,32.000000
-22,5,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-22,5,60,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-21,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-22,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-24,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-24,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
-23,6,60,1623718791.0,32.000000
