EDA,start_time_unix,sampling_rate
0.0,1624275807.0,4.0
0.831534,1624275807.0,4.0
1.177739,1624275807.0,4.0
1.615997,1624275807.0,4.0
1.76344,1624275807.0,4.0
1.769847,1624275807.0,4.0
1.768565,1624275807.0,4.0
1.781378,1624275807.0,4.0
1.771128,1624275807.0,4.0
1.764722,1624275807.0,4.0
1.768565,1624275807.0,4.0
1.787784,1624275807.0,4.0
1.77369,1624275807.0,4.0
1.774972,1624275807.0,4.0
1.776253,1624275807.0,4.0
1.776253,1624275807.0,4.0
1.772409,1624275807.0,4.0
1.776253,1624275807.0,4.0
1.771128,1624275807.0,4.0
1.78394,1624275807.0,4.0
1.772409,1624275807.0,4.0
1.772409,1624275807.0,4.0
1.767284,1624275807.0,4.0
1.772409,1624275807.0,4.0
1.769847,1624275807.0,4.0
1.774972,1624275807.0,4.0
1.776253,1624275807.0,4.0
1.759597,1624275807.0,4.0
1.758315,1624275807.0,4.0
1.757034,1624275807.0,4.0
1.755753,1624275807.0,4.0
1.755753,1624275807.0,4.0
1.757034,1624275807.0,4.0
1.745503,1624275807.0,4.0
1.746784,1624275807.0,4.0
1.74294,1624275807.0,4.0
1.74294,1624275807.0,4.0
1.739097,1624275807.0,4.0
1.740378,1624275807.0,4.0
1.740378,1624275807.0,4.0
1.725003,1624275807.0,4.0
1.731409,1624275807.0,4.0
1.730128,1624275807.0,4.0
1.728847,1624275807.0,4.0
1.727565,1624275807.0,4.0
1.726284,1624275807.0,4.0
1.725003,1624275807.0,4.0
1.73269,1624275807.0,4.0
1.723722,1624275807.0,4.0
1.721159,1624275807.0,4.0
1.718597,1624275807.0,4.0
1.716034,1624275807.0,4.0
1.716034,1624275807.0,4.0
1.710909,1624275807.0,4.0
1.714753,1624275807.0,4.0
1.718597,1624275807.0,4.0
1.707065,1624275807.0,4.0
1.708346,1624275807.0,4.0
1.705784,1624275807.0,4.0
1.707065,1624275807.0,4.0
1.696815,1624275807.0,4.0
1.695534,1624275807.0,4.0
1.692971,1624275807.0,4.0
1.699378,1624275807.0,4.0
1.698097,1624275807.0,4.0
1.696815,1624275807.0,4.0
1.689128,1624275807.0,4.0
1.682721,1624275807.0,4.0
1.676315,1624275807.0,4.0
1.675034,1624275807.0,4.0
1.678878,1624275807.0,4.0
1.678878,1624275807.0,4.0
1.67119,1624275807.0,4.0
1.67119,1624275807.0,4.0
1.663503,1624275807.0,4.0
1.666065,1624275807.0,4.0
1.659659,1624275807.0,4.0
1.659659,1624275807.0,4.0
1.667346,1624275807.0,4.0
1.662221,1624275807.0,4.0
1.655815,1624275807.0,4.0
1.654534,1624275807.0,4.0
1.67119,1624275807.0,4.0
1.653253,1624275807.0,4.0
1.649409,1624275807.0,4.0
1.654534,1624275807.0,4.0
1.649409,1624275807.0,4.0
1.649409,1624275807.0,4.0
1.645565,1624275807.0,4.0
1.641721,1624275807.0,4.0
1.637878,1624275807.0,4.0
1.641721,1624275807.0,4.0
1.634034,1624275807.0,4.0
1.641721,1624275807.0,4.0
1.637878,1624275807.0,4.0
1.63019,1624275807.0,4.0
1.627627,1624275807.0,4.0
1.622502,1624275807.0,4.0
1.618659,1624275807.0,4.0
1.61994,1624275807.0,4.0
1.613534,1624275807.0,4.0
1.623784,1624275807.0,4.0
1.616096,1624275807.0,4.0
1.60969,1624275807.0,4.0
1.613534,1624275807.0,4.0
1.610971,1624275807.0,4.0
1.608409,1624275807.0,4.0
1.602002,1624275807.0,4.0
1.604565,1624275807.0,4.0
1.613534,1624275807.0,4.0
1.60969,1624275807.0,4.0
1.596877,1624275807.0,4.0
1.59944,1624275807.0,4.0
1.59944,1624275807.0,4.0
1.605846,1624275807.0,4.0
1.593034,1624275807.0,4.0
1.593034,1624275807.0,4.0
1.591752,1624275807.0,4.0
1.591752,1624275807.0,4.0
1.586627,1624275807.0,4.0
1.585346,1624275807.0,4.0
1.580221,1624275807.0,4.0
1.584065,1624275807.0,4.0
1.57894,1624275807.0,4.0
1.584065,1624275807.0,4.0
1.586627,1624275807.0,4.0
1.57894,1624275807.0,4.0
1.577659,1624275807.0,4.0
1.575096,1624275807.0,4.0
1.569971,1624275807.0,4.0
1.567409,1624275807.0,4.0
1.569971,1624275807.0,4.0
1.571252,1624275807.0,4.0
1.571252,1624275807.0,4.0
1.572534,1624275807.0,4.0
1.567409,1624275807.0,4.0
1.566127,1624275807.0,4.0
1.563565,1624275807.0,4.0
1.563565,1624275807.0,4.0
1.561002,1624275807.0,4.0
1.553315,1624275807.0,4.0
1.564846,1624275807.0,4.0
1.555877,1624275807.0,4.0
1.553315,1624275807.0,4.0
1.550752,1624275807.0,4.0
1.552034,1624275807.0,4.0
1.550752,1624275807.0,4.0
1.544346,1624275807.0,4.0
1.553315,1624275807.0,4.0
1.541783,1624275807.0,4.0
1.541783,1624275807.0,4.0
1.53794,1624275807.0,4.0
1.540502,1624275807.0,4.0
1.534096,1624275807.0,4.0
1.532815,1624275807.0,4.0
1.530252,1624275807.0,4.0
1.53794,1624275807.0,4.0
1.532815,1624275807.0,4.0
1.531533,1624275807.0,4.0
1.523846,1624275807.0,4.0
1.523846,1624275807.0,4.0
1.525127,1624275807.0,4.0
1.530252,1624275807.0,4.0
1.520002,1624275807.0,4.0
1.526408,1624275807.0,4.0
1.518721,1624275807.0,4.0
1.516158,1624275807.0,4.0
1.512315,1624275807.0,4.0
1.518721,1624275807.0,4.0
1.508471,1624275807.0,4.0
1.50719,1624275807.0,4.0
1.514877,1624275807.0,4.0
1.513596,1624275807.0,4.0
1.502065,1624275807.0,4.0
1.500783,1624275807.0,4.0
1.504627,1624275807.0,4.0
1.499502,1624275807.0,4.0
1.498221,1624275807.0,4.0
1.493096,1624275807.0,4.0
1.494377,1624275807.0,4.0
1.489252,1624275807.0,4.0
1.489252,1624275807.0,4.0
1.490533,1624275807.0,4.0
1.485408,1624275807.0,4.0
1.484127,1624275807.0,4.0
1.482846,1624275807.0,4.0
1.479002,1624275807.0,4.0
1.480283,1624275807.0,4.0
1.482846,1624275807.0,4.0
1.47644,1624275807.0,4.0
1.477721,1624275807.0,4.0
1.472596,1624275807.0,4.0
1.473877,1624275807.0,4.0
1.470033,1624275807.0,4.0
1.468752,1624275807.0,4.0
1.46619,1624275807.0,4.0
1.462346,1624275807.0,4.0
1.459783,1624275807.0,4.0
1.459783,1624275807.0,4.0
1.454658,1624275807.0,4.0
1.457221,1624275807.0,4.0
1.458502,1624275807.0,4.0
1.45594,1624275807.0,4.0
1.457221,1624275807.0,4.0
1.45594,1624275807.0,4.0
1.452096,1624275807.0,4.0
1.449533,1624275807.0,4.0
1.453377,1624275807.0,4.0
1.452096,1624275807.0,4.0
1.452096,1624275807.0,4.0
1.462346,1624275807.0,4.0
1.46619,1624275807.0,4.0
1.467471,1624275807.0,4.0
1.459783,1624275807.0,4.0
1.454658,1624275807.0,4.0
1.449533,1624275807.0,4.0
1.453377,1624275807.0,4.0
1.449533,1624275807.0,4.0
1.453377,1624275807.0,4.0
1.450814,1624275807.0,4.0
1.449533,1624275807.0,4.0
1.450814,1624275807.0,4.0
1.449533,1624275807.0,4.0
1.445689,1624275807.0,4.0
1.445689,1624275807.0,4.0
1.446971,1624275807.0,4.0
1.443127,1624275807.0,4.0
1.446971,1624275807.0,4.0
1.440564,1624275807.0,4.0
1.443127,1624275807.0,4.0
1.438002,1624275807.0,4.0
1.432877,1624275807.0,4.0
1.430314,1624275807.0,4.0
1.434158,1624275807.0,4.0
1.430314,1624275807.0,4.0
1.430314,1624275807.0,4.0
