BVP,start_time_unix,sampling_rate
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.01,1624275807.0,64.0
-0.0,1624275807.0,64.0
0.0,1624275807.0,64.0
0.01,1624275807.0,64.0
0.01,1624275807.0,64.0
-0.0,1624275807.0,64.0
-0.03,1624275807.0,64.0
-0.05,1624275807.0,64.0
-0.05,1624275807.0,64.0
-0.0,1624275807.0,64.0
0.13,1624275807.0,64.0
0.36,1624275807.0,64.0
0.66,1624275807.0,64.0
1.01,1624275807.0,64.0
1.37,1624275807.0,64.0
1.72,1624275807.0,64.0
2.06,1624275807.0,64.0
2.4,1624275807.0,64.0
2.77,1624275807.0,64.0
3.24,1624275807.0,64.0
3.8,1624275807.0,64.0
4.42,1624275807.0,64.0
5.06,1624275807.0,64.0
5.66,1624275807.0,64.0
6.2,1624275807.0,64.0
6.68,1624275807.0,64.0
7.15,1624275807.0,64.0
7.64,1624275807.0,64.0
8.31,1624275807.0,64.0
9.14,1624275807.0,64.0
10.09,1624275807.0,64.0
11.04,1624275807.0,64.0
11.88,1624275807.0,64.0
12.56,1624275807.0,64.0
13.14,1624275807.0,64.0
13.76,1624275807.0,64.0
14.58,1624275807.0,64.0
15.96,1624275807.0,64.0
17.91,1624275807.0,64.0
20.32,1624275807.0,64.0
22.9,1624275807.0,64.0
25.38,1624275807.0,64.0
27.58,1624275807.0,64.0
29.57,1624275807.0,64.0
31.68,1624275807.0,64.0
34.2,1624275807.0,64.0
37.81,1624275807.0,64.0
42.54,1624275807.0,64.0
48.15,1624275807.0,64.0
54.1,1624275807.0,64.0
59.83,1624275807.0,64.0
64.97,1624275807.0,64.0
69.58,1624275807.0,64.0
74.15,1624275807.0,64.0
79.19,1624275807.0,64.0
85.71,1624275807.0,64.0
93.76,1624275807.0,64.0
102.99,1624275807.0,64.0
112.61,1624275807.0,64.0
121.74,1624275807.0,64.0
129.8,1624275807.0,64.0
136.8,1624275807.0,64.0
144.34,1624275807.0,64.0
150.58,1624275807.0,64.0
157.69,1624275807.0,64.0
166.43,1624275807.0,64.0
177.59,1624275807.0,64.0
191.3,1624275807.0,64.0
206.38,1624275807.0,64.0
219.94,1624275807.0,64.0
227.63,1624275807.0,64.0
224.76,1624275807.0,64.0
207.76,1624275807.0,64.0
176.2,1624275807.0,64.0
131.98,1624275807.0,64.0
79.13,1624275807.0,64.0
22.04,1624275807.0,64.0
-36.03,1624275807.0,64.0
-93.52,1624275807.0,64.0
-150.19,1624275807.0,64.0
-206.23,1624275807.0,64.0
-261.55,1624275807.0,64.0
-314.98,1624275807.0,64.0
-365.41,1624275807.0,64.0
-411.72,1624275807.0,64.0
-453.09,1624275807.0,64.0
-488.83,1624275807.0,64.0
-518.05,1624275807.0,64.0
-539.42,1624275807.0,64.0
-551.35,1624275807.0,64.0
-552.34,1624275807.0,64.0
-541.18,1624275807.0,64.0
-517.84,1624275807.0,64.0
-483.27,1624275807.0,64.0
-439.31,1624275807.0,64.0
-388.36,1624275807.0,64.0
-332.99,1624275807.0,64.0
-275.6,1624275807.0,64.0
-218.24,1624275807.0,64.0
-162.6,1624275807.0,64.0
-109.84,1624275807.0,64.0
-60.87,1624275807.0,64.0
-16.32,1624275807.0,64.0
23.46,1624275807.0,64.0
58.25,1624275807.0,64.0
87.93,1624275807.0,64.0
112.4,1624275807.0,64.0
131.59,1624275807.0,64.0
145.55,1624275807.0,64.0
154.62,1624275807.0,64.0
159.43,1624275807.0,64.0
160.89,1624275807.0,64.0
160.02,1624275807.0,64.0
157.71,1624275807.0,64.0
154.5,1624275807.0,64.0
150.49,1624275807.0,64.0
145.51,1624275807.0,64.0
139.28,1624275807.0,64.0
131.47,1624275807.0,64.0
121.83,1624275807.0,64.0
110.22,1624275807.0,64.0
97.02,1624275807.0,64.0
83.49,1624275807.0,64.0
71.89,1624275807.0,64.0
65.06,1624275807.0,64.0
65.35,1624275807.0,64.0
73.43,1624275807.0,64.0
87.62,1624275807.0,64.0
104.25,1624275807.0,64.0
118.95,1624275807.0,64.0
128.29,1624275807.0,64.0
130.9,1624275807.0,64.0
127.54,1624275807.0,64.0
120.16,1624275807.0,64.0
110.81,1624275807.0,64.0
100.77,1624275807.0,64.0
90.52,1624275807.0,64.0
80.34,1624275807.0,64.0
70.44,1624275807.0,64.0
61.39,1624275807.0,64.0
53.84,1624275807.0,64.0
48.14,1624275807.0,64.0
44.01,1624275807.0,64.0
40.76,1624275807.0,64.0
37.45,1624275807.0,64.0
33.49,1624275807.0,64.0
28.78,1624275807.0,64.0
23.75,1624275807.0,64.0
19.13,1624275807.0,64.0
15.57,1624275807.0,64.0
13.3,1624275807.0,64.0
12.05,1624275807.0,64.0
11.19,1624275807.0,64.0
10.02,1624275807.0,64.0
8.11,1624275807.0,64.0
5.47,1624275807.0,64.0
2.52,1624275807.0,64.0
-0.1,1624275807.0,64.0
-1.87,1624275807.0,64.0
-2.63,1624275807.0,64.0
-2.63,1624275807.0,64.0
-2.32,1624275807.0,64.0
-2.13,1624275807.0,64.0
-2.17,1624275807.0,64.0
-2.31,1624275807.0,64.0
-2.33,1624275807.0,64.0
-2.12,1624275807.0,64.0
-1.74,1624275807.0,64.0
-1.29,1624275807.0,64.0
-0.84,1624275807.0,64.0
-0.3,1624275807.0,64.0
0.38,1624275807.0,64.0
1.11,1624275807.0,64.0
1.57,1624275807.0,64.0
1.34,1624275807.0,64.0
0.2,1624275807.0,64.0
-1.69,1624275807.0,64.0
-3.85,1624275807.0,64.0
-5.67,1624275807.0,64.0
-6.76,1624275807.0,64.0
-7.06,1624275807.0,64.0
-6.76,1624275807.0,64.0
-6.17,1624275807.0,64.0
-5.45,1624275807.0,64.0
-4.68,1624275807.0,64.0
-3.85,1624275807.0,64.0
-3.04,1624275807.0,64.0
-2.43,1624275807.0,64.0
-2.14,1624275807.0,64.0
-2.22,1624275807.0,64.0
-2.56,1624275807.0,64.0
-3.06,1624275807.0,64.0
-3.57,1624275807.0,64.0
-4.0,1624275807.0,64.0
-4.27,1624275807.0,64.0
-4.32,1624275807.0,64.0
-4.11,1624275807.0,64.0
-3.66,1624275807.0,64.0
-3.12,1624275807.0,64.0
-2.68,1624275807.0,64.0
-2.52,1624275807.0,64.0
-2.68,1624275807.0,64.0
-3.01,1624275807.0,64.0
-3.2,1624275807.0,64.0
-2.91,1624275807.0,64.0
-1.96,1624275807.0,64.0
-0.41,1624275807.0,64.0
1.42,1624275807.0,64.0
3.15,1624275807.0,64.0
4.48,1624275807.0,64.0
5.34,1624275807.0,64.0
5.83,1624275807.0,64.0
6.11,1624275807.0,64.0
6.33,1624275807.0,64.0
6.45,1624275807.0,64.0
6.39,1624275807.0,64.0
6.11,1624275807.0,64.0
5.69,1624275807.0,64.0
5.36,1624275807.0,64.0
5.37,1624275807.0,64.0
5.84,1624275807.0,64.0
6.65,1624275807.0,64.0
7.65,1624275807.0,64.0
8.6,1624275807.0,64.0
9.39,1624275807.0,64.0
9.96,1624275807.0,64.0
10.28,1624275807.0,64.0
10.24,1624275807.0,64.0
9.69,1624275807.0,64.0
8.57,1624275807.0,64.0
6.8,1624275807.0,64.0
4.5,1624275807.0,64.0
1.87,1624275807.0,64.0
-0.95,1624275807.0,64.0
-3.88,1624275807.0,64.0
-6.88,1624275807.0,64.0
-9.83,1624275807.0,64.0
-12.47,1624275807.0,64.0
-14.43,1624275807.0,64.0
-15.41,1624275807.0,64.0
-15.35,1624275807.0,64.0
-14.47,1624275807.0,64.0
-13.28,1624275807.0,64.0
-12.24,1624275807.0,64.0
-11.66,1624275807.0,64.0
-11.48,1624275807.0,64.0
-11.38,1624275807.0,64.0
-10.98,1624275807.0,64.0
-9.98,1624275807.0,64.0
-8.36,1624275807.0,64.0
-6.33,1624275807.0,64.0
-4.26,1624275807.0,64.0
-2.52,1624275807.0,64.0
-1.33,1624275807.0,64.0
-0.74,1624275807.0,64.0
-0.61,1624275807.0,64.0
-0.76,1624275807.0,64.0
-0.99,1624275807.0,64.0
-1.21,1624275807.0,64.0
-1.44,1624275807.0,64.0
-1.73,1624275807.0,64.0
-2.12,1624275807.0,64.0
-2.55,1624275807.0,64.0
-2.88,1624275807.0,64.0
-3.02,1624275807.0,64.0
-2.93,1624275807.0,64.0
-2.72,1624275807.0,64.0
-2.6,1624275807.0,64.0
-2.7,1624275807.0,64.0
-3.02,1624275807.0,64.0
-3.38,1624275807.0,64.0
-3.53,1624275807.0,64.0
-3.29,1624275807.0,64.0
-2.65,1624275807.0,64.0
-1.8,1624275807.0,64.0
-1.04,1624275807.0,64.0
-0.67,1624275807.0,64.0
-0.81,1624275807.0,64.0
-1.39,1624275807.0,64.0
-2.27,1624275807.0,64.0
-3.22,1624275807.0,64.0
-4.09,1624275807.0,64.0
-4.77,1624275807.0,64.0
-5.25,1624275807.0,64.0
-5.57,1624275807.0,64.0
-5.81,1624275807.0,64.0
-6.1,1624275807.0,64.0
-6.54,1624275807.0,64.0
-7.24,1624275807.0,64.0
-8.19,1624275807.0,64.0
-9.33,1624275807.0,64.0
-10.46,1624275807.0,64.0
-11.32,1624275807.0,64.0
-11.5,1624275807.0,64.0
-10.73,1624275807.0,64.0
-8.92,1624275807.0,64.0
-6.24,1624275807.0,64.0
-3.11,1624275807.0,64.0
-0.04,1624275807.0,64.0
2.47,1624275807.0,64.0
4.13,1624275807.0,64.0
4.92,1624275807.0,64.0
5.0,1624275807.0,64.0
4.61,1624275807.0,64.0
3.9,1624275807.0,64.0
2.95,1624275807.0,64.0
1.75,1624275807.0,64.0
0.33,1624275807.0,64.0
-1.18,1624275807.0,64.0
-2.55,1624275807.0,64.0
-3.49,1624275807.0,64.0
-3.83,1624275807.0,64.0
-3.56,1624275807.0,64.0
-2.85,1624275807.0,64.0
-1.91,1624275807.0,64.0
-0.9,1624275807.0,64.0
0.1,1624275807.0,64.0
1.15,1624275807.0,64.0
2.27,1624275807.0,64.0
3.43,1624275807.0,64.0
4.47,1624275807.0,64.0
5.21,1624275807.0,64.0
5.51,1624275807.0,64.0
5.35,1624275807.0,64.0
4.86,1624275807.0,64.0
4.22,1624275807.0,64.0
3.53,1624275807.0,64.0
2.78,1624275807.0,64.0
1.85,1624275807.0,64.0
0.71,1624275807.0,64.0
-0.6,1624275807.0,64.0
-1.87,1624275807.0,64.0
-2.89,1624275807.0,64.0
-3.56,1624275807.0,64.0
-3.97,1624275807.0,64.0
-4.33,1624275807.0,64.0
-4.86,1624275807.0,64.0
-5.56,1624275807.0,64.0
-6.25,1624275807.0,64.0
-6.57,1624275807.0,64.0
-6.23,1624275807.0,64.0
-5.2,1624275807.0,64.0
-3.72,1624275807.0,64.0
-2.17,1624275807.0,64.0
-0.9,1624275807.0,64.0
-0.03,1624275807.0,64.0
0.52,1624275807.0,64.0
0.91,1624275807.0,64.0
1.26,1624275807.0,64.0
1.54,1624275807.0,64.0
1.7,1624275807.0,64.0
1.8,1624275807.0,64.0
2.09,1624275807.0,64.0
3.03,1624275807.0,64.0
5.08,1624275807.0,64.0
8.51,1624275807.0,64.0
13.34,1624275807.0,64.0
19.3,1624275807.0,64.0
25.89,1624275807.0,64.0
32.41,1624275807.0,64.0
38.07,1624275807.0,64.0
42.11,1624275807.0,64.0
44.01,1624275807.0,64.0
43.66,1624275807.0,64.0
41.44,1624275807.0,64.0
38.01,1624275807.0,64.0
34.04,1624275807.0,64.0
29.92,1624275807.0,64.0
25.77,1624275807.0,64.0
21.53,1624275807.0,64.0
17.26,1624275807.0,64.0
13.26,1624275807.0,64.0
9.93,1624275807.0,64.0
7.53,1624275807.0,64.0
5.95,1624275807.0,64.0
4.66,1624275807.0,64.0
3.04,1624275807.0,64.0
0.67,1624275807.0,64.0
-2.42,1624275807.0,64.0
-5.88,1624275807.0,64.0
-9.27,1624275807.0,64.0
-12.29,1624275807.0,64.0
-14.94,1624275807.0,64.0
-17.35,1624275807.0,64.0
-19.68,1624275807.0,64.0
-21.84,1624275807.0,64.0
-23.55,1624275807.0,64.0
-24.42,1624275807.0,64.0
-24.16,1624275807.0,64.0
-22.75,1624275807.0,64.0
-20.4,1624275807.0,64.0
-17.52,1624275807.0,64.0
-14.5,1624275807.0,64.0
-11.64,1624275807.0,64.0
-9.07,1624275807.0,64.0
-6.85,1624275807.0,64.0
-4.95,1624275807.0,64.0
-3.41,1624275807.0,64.0
-2.26,1624275807.0,64.0
-1.5,1624275807.0,64.0
-1.09,1624275807.0,64.0
-0.94,1624275807.0,64.0
-0.92,1624275807.0,64.0
-0.95,1624275807.0,64.0
-0.97,1624275807.0,64.0
-0.95,1624275807.0,64.0
-0.89,1624275807.0,64.0
-0.76,1624275807.0,64.0
-0.53,1624275807.0,64.0
-0.17,1624275807.0,64.0
0.32,1624275807.0,64.0
0.91,1624275807.0,64.0
1.54,1624275807.0,64.0
2.1,1624275807.0,64.0
2.49,1624275807.0,64.0
2.63,1624275807.0,64.0
2.5,1624275807.0,64.0
2.14,1624275807.0,64.0
1.64,1624275807.0,64.0
1.11,1624275807.0,64.0
0.6,1624275807.0,64.0
0.09,1624275807.0,64.0
-0.52,1624275807.0,64.0
-1.38,1624275807.0,64.0
