IBI_time,IBI_intervals,start_time_unix
11.500000,0.859375,1624275804.0
12.328125,0.828125,1624275804.0
13.125000,0.796875,1624275804.0
13.937500,0.812500,1624275804.0
14.718750,0.781250,1624275804.0
15.468750,0.750000,1624275804.0
16.234375,0.765625,1624275804.0
16.953125,0.718750,1624275804.0
17.687500,0.734375,1624275804.0
18.468750,0.781250,1624275804.0
19.265625,0.796875,1624275804.0
20.062500,0.796875,1624275804.0
20.890625,0.828125,1624275804.0
21.671875,0.781250,1624275804.0
22.406250,0.734375,1624275804.0
23.156250,0.750000,1624275804.0
23.968750,0.812500,1624275804.0
24.765625,0.796875,1624275804.0
25.578125,0.812500,1624275804.0
26.359375,0.781250,1624275804.0
27.156250,0.796875,1624275804.0
27.953125,0.796875,1624275804.0
28.750000,0.796875,1624275804.0
29.546875,0.796875,1624275804.0
30.343750,0.796875,1624275804.0
31.156250,0.812500,1624275804.0
31.937500,0.781250,1624275804.0
40.546875,0.828125,1624275804.0
41.390625,0.843750,1624275804.0
42.171875,0.781250,1624275804.0
42.937500,0.765625,1624275804.0
43.718750,0.781250,1624275804.0
44.468750,0.750000,1624275804.0
45.250000,0.781250,1624275804.0
46.015625,0.765625,1624275804.0
46.796875,0.781250,1624275804.0
47.578125,0.781250,1624275804.0
48.390625,0.812500,1624275804.0
49.171875,0.781250,1624275804.0
49.984375,0.812500,1624275804.0
60.328125,0.703125,1624275804.0
61.015625,0.687500,1624275804.0
61.687500,0.671875,1624275804.0
62.343750,0.656250,1624275804.0
62.968750,0.625000,1624275804.0
63.609375,0.640625,1624275804.0
64.234375,0.625000,1624275804.0
64.859375,0.625000,1624275804.0
65.484375,0.625000,1624275804.0
66.218750,0.734375,1624275804.0
66.937500,0.718750,1624275804.0
67.656250,0.718750,1624275804.0
68.375000,0.718750,1624275804.0
69.078125,0.703125,1624275804.0
69.796875,0.718750,1624275804.0
70.515625,0.718750,1624275804.0
71.218750,0.703125,1624275804.0
71.937500,0.718750,1624275804.0
72.640625,0.703125,1624275804.0
73.375000,0.734375,1624275804.0
74.156250,0.781250,1624275804.0
74.921875,0.765625,1624275804.0
