EDA,start_time_unix,sampling_rate
0.0,1624890619.0,4.0
0.82784,1624890619.0,4.0
1.174108,1624890619.0,4.0
1.500955,1624890619.0,4.0
1.484395,1624890619.0,4.0
1.477988,1624890619.0,4.0
1.477988,1624890619.0,4.0
1.472862,1624890619.0,4.0
1.470299,1624890619.0,4.0
1.467736,1624890619.0,4.0
1.466454,1624890619.0,4.0
1.465173,1624890619.0,4.0
1.463892,1624890619.0,4.0
1.463892,1624890619.0,4.0
1.465173,1624890619.0,4.0
1.463892,1624890619.0,4.0
1.457484,1624890619.0,4.0
1.45364,1624890619.0,4.0
1.454921,1624890619.0,4.0
1.449795,1624890619.0,4.0
1.431854,1624890619.0,4.0
1.463892,1624890619.0,4.0
1.53181,1624890619.0,4.0
1.527966,1624890619.0,4.0
1.517714,1624890619.0,4.0
1.518995,1624890619.0,4.0
1.469017,1624890619.0,4.0
1.513869,1624890619.0,4.0
1.588196,1624890619.0,4.0
1.595884,1624890619.0,4.0
1.603573,1624890619.0,4.0
1.607418,1624890619.0,4.0
1.609981,1624890619.0,4.0
1.584351,1624890619.0,4.0
1.53181,1624890619.0,4.0
1.536936,1624890619.0,4.0
1.502336,1624890619.0,4.0
1.369062,1624890619.0,4.0
1.362654,1624890619.0,4.0
1.354965,1624890619.0,4.0
1.331898,1624890619.0,4.0
1.334461,1624890619.0,4.0
1.440825,1624890619.0,4.0
1.575381,1624890619.0,4.0
1.535655,1624890619.0,4.0
1.399817,1624890619.0,4.0
1.105076,1624890619.0,4.0
1.032031,1624890619.0,4.0
0.95386,1624890619.0,4.0
0.935919,1624890619.0,4.0
0.789731,1624890619.0,4.0
0.739753,1624890619.0,4.0
0.615449,1624890619.0,4.0
0.529589,1624890619.0,4.0
1.075502,1624890619.0,4.0
1.426629,1624890619.0,4.0
1.204932,1624890619.0,4.0
1.154954,1624890619.0,4.0
1.153673,1624890619.0,4.0
1.156236,1624890619.0,4.0
1.147265,1624890619.0,4.0
1.144702,1624890619.0,4.0
1.148547,1624890619.0,4.0
1.149828,1624890619.0,4.0
1.149828,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.157517,1624890619.0,4.0
1.157517,1624890619.0,4.0
1.156236,1624890619.0,4.0
1.161362,1624890619.0,4.0
1.153673,1624890619.0,4.0
1.154954,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.148547,1624890619.0,4.0
1.15111,1624890619.0,4.0
1.149828,1624890619.0,4.0
1.15111,1624890619.0,4.0
1.149828,1624890619.0,4.0
1.153673,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.154954,1624890619.0,4.0
1.15111,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.153673,1624890619.0,4.0
1.152391,1624890619.0,4.0
1.154954,1624890619.0,4.0
1.15111,1624890619.0,4.0
1.149828,1624890619.0,4.0
1.147265,1624890619.0,4.0
1.147265,1624890619.0,4.0
1.145984,1624890619.0,4.0
1.145984,1624890619.0,4.0
1.14214,1624890619.0,4.0
1.139577,1624890619.0,4.0
1.140858,1624890619.0,4.0
1.14214,1624890619.0,4.0
1.138295,1624890619.0,4.0
1.138295,1624890619.0,4.0
1.138295,1624890619.0,4.0
1.14214,1624890619.0,4.0
1.140858,1624890619.0,4.0
1.139577,1624890619.0,4.0
1.14214,1624890619.0,4.0
1.139577,1624890619.0,4.0
1.140858,1624890619.0,4.0
1.135732,1624890619.0,4.0
1.138295,1624890619.0,4.0
1.134451,1624890619.0,4.0
1.135732,1624890619.0,4.0
1.131888,1624890619.0,4.0
1.133169,1624890619.0,4.0
1.129325,1624890619.0,4.0
1.128043,1624890619.0,4.0
1.128043,1624890619.0,4.0
1.124199,1624890619.0,4.0
1.124199,1624890619.0,4.0
1.121636,1624890619.0,4.0
1.119073,1624890619.0,4.0
1.119073,1624890619.0,4.0
1.11651,1624890619.0,4.0
1.115228,1624890619.0,4.0
1.11651,1624890619.0,4.0
1.111384,1624890619.0,4.0
1.108821,1624890619.0,4.0
1.111384,1624890619.0,4.0
1.106258,1624890619.0,4.0
1.104976,1624890619.0,4.0
1.107539,1624890619.0,4.0
1.106258,1624890619.0,4.0
1.104976,1624890619.0,4.0
1.101132,1624890619.0,4.0
1.104976,1624890619.0,4.0
1.107539,1624890619.0,4.0
1.104976,1624890619.0,4.0
1.104976,1624890619.0,4.0
1.106258,1624890619.0,4.0
1.103695,1624890619.0,4.0
1.103695,1624890619.0,4.0
1.103695,1624890619.0,4.0
1.107539,1624890619.0,4.0
1.112665,1624890619.0,4.0
1.117791,1624890619.0,4.0
1.122917,1624890619.0,4.0
1.133169,1624890619.0,4.0
1.137014,1624890619.0,4.0
1.138295,1624890619.0,4.0
1.143421,1624890619.0,4.0
1.144702,1624890619.0,4.0
1.145984,1624890619.0,4.0
1.283103,1624890619.0,4.0
0.851242,1624890619.0,4.0
1.503518,1624890619.0,4.0
1.214002,1624890619.0,4.0
1.560003,1624890619.0,4.0
1.538218,1624890619.0,4.0
1.434417,1624890619.0,4.0
1.369062,1624890619.0,4.0
1.343432,1624890619.0,4.0
1.331898,1624890619.0,4.0
1.325491,1624890619.0,4.0
1.319084,1624890619.0,4.0
1.315239,1624890619.0,4.0
1.308832,1624890619.0,4.0
