IBI_time,IBI_intervals,start_time_unix
16.937500,1.093750,1629792919.0
18.078125,1.140625,1629792919.0
19.203125,1.125000,1629792919.0
20.343750,1.140625,1629792919.0
21.468750,1.125000,1629792919.0
22.593750,1.125000,1629792919.0
23.687500,1.093750,1629792919.0
30.968750,1.078125,1629792919.0
32.031250,1.062500,1629792919.0
33.109375,1.078125,1629792919.0
34.125000,1.015625,1629792919.0
35.015625,0.890625,1629792919.0
35.984375,0.968750,1629792919.0
37.062500,1.078125,1629792919.0
38.171875,1.109375,1629792919.0
39.312500,1.140625,1629792919.0
40.375000,1.062500,1629792919.0
41.515625,1.140625,1629792919.0
42.609375,1.093750,1629792919.0
43.750000,1.140625,1629792919.0
44.828125,1.078125,1629792919.0
45.906250,1.078125,1629792919.0
46.953125,1.046875,1629792919.0
48.046875,1.093750,1629792919.0
49.140625,1.093750,1629792919.0
50.281250,1.140625,1629792919.0
51.468750,1.187500,1629792919.0
52.625000,1.156250,1629792919.0
53.828125,1.203125,1629792919.0
63.406250,0.968750,1629792919.0
64.421875,1.015625,1629792919.0
65.390625,0.968750,1629792919.0
66.437500,1.046875,1629792919.0
67.531250,1.093750,1629792919.0
68.609375,1.078125,1629792919.0
69.703125,1.093750,1629792919.0
70.750000,1.046875,1629792919.0
71.843750,1.093750,1629792919.0
72.890625,1.046875,1629792919.0
73.984375,1.093750,1629792919.0
75.046875,1.062500,1629792919.0
76.156250,1.109375,1629792919.0
77.250000,1.093750,1629792919.0
78.390625,1.140625,1629792919.0
79.468750,1.078125,1629792919.0
80.531250,1.062500,1629792919.0
92.515625,0.937500,1629792919.0
93.375000,0.859375,1629792919.0
94.250000,0.875000,1629792919.0
95.187500,0.937500,1629792919.0
96.265625,1.078125,1629792919.0
97.375000,1.109375,1629792919.0
98.515625,1.140625,1629792919.0
113.468750,1.078125,1629792919.0
114.515625,1.046875,1629792919.0
115.593750,1.078125,1629792919.0
116.859375,1.265625,1629792919.0
117.953125,1.093750,1629792919.0
119.000000,1.046875,1629792919.0
120.046875,1.046875,1629792919.0
121.046875,1.000000,1629792919.0
122.093750,1.046875,1629792919.0
123.125000,1.031250,1629792919.0
124.218750,1.093750,1629792919.0
125.296875,1.078125,1629792919.0
135.671875,1.062500,1629792919.0
136.687500,1.015625,1629792919.0
137.781250,1.093750,1629792919.0
138.812500,1.031250,1629792919.0
139.921875,1.109375,1629792919.0
140.984375,1.062500,1629792919.0
142.109375,1.125000,1629792919.0
143.187500,1.078125,1629792919.0
144.312500,1.125000,1629792919.0
145.375000,1.062500,1629792919.0
146.453125,1.078125,1629792919.0
147.484375,1.031250,1629792919.0
148.562500,1.078125,1629792919.0
149.609375,1.046875,1629792919.0
150.656250,1.046875,1629792919.0
151.703125,1.046875,1629792919.0
157.500000,1.015625,1629792919.0
158.593750,1.093750,1629792919.0
159.750000,1.156250,1629792919.0
160.781250,1.031250,1629792919.0
161.906250,1.125000,1629792919.0
163.000000,1.093750,1629792919.0
193.390625,0.953125,1629792919.0
194.359375,0.968750,1629792919.0
195.265625,0.906250,1629792919.0
196.250000,0.984375,1629792919.0
197.218750,0.968750,1629792919.0
198.281250,1.062500,1629792919.0
199.375000,1.093750,1629792919.0
200.468750,1.093750,1629792919.0
201.531250,1.062500,1629792919.0
202.593750,1.062500,1629792919.0
203.609375,1.015625,1629792919.0
204.609375,1.000000,1629792919.0
205.593750,0.984375,1629792919.0
206.625000,1.031250,1629792919.0
207.625000,1.000000,1629792919.0
208.703125,1.078125,1629792919.0
209.765625,1.062500,1629792919.0
210.734375,0.968750,1629792919.0
211.734375,1.000000,1629792919.0
212.671875,0.937500,1629792919.0
213.671875,1.000000,1629792919.0
214.718750,1.046875,1629792919.0
215.703125,0.984375,1629792919.0
216.750000,1.046875,1629792919.0
217.750000,1.000000,1629792919.0
218.812500,1.062500,1629792919.0
219.828125,1.015625,1629792919.0
220.875000,1.046875,1629792919.0
221.890625,1.015625,1629792919.0
222.921875,1.031250,1629792919.0
223.890625,0.968750,1629792919.0
224.937500,1.046875,1629792919.0
225.906250,0.968750,1629792919.0
226.921875,1.015625,1629792919.0
227.875000,0.953125,1629792919.0
236.859375,0.984375,1629792919.0
261.265625,0.953125,1629792919.0
275.250000,1.000000,1629792919.0
276.265625,1.015625,1629792919.0
277.234375,0.968750,1629792919.0
278.250000,1.015625,1629792919.0
279.296875,1.046875,1629792919.0
280.359375,1.062500,1629792919.0
281.406250,1.046875,1629792919.0
304.984375,0.875000,1629792919.0
334.796875,0.968750,1629792919.0
335.765625,0.968750,1629792919.0
336.703125,0.937500,1629792919.0
373.203125,1.109375,1629792919.0
391.500000,1.046875,1629792919.0
392.328125,0.828125,1629792919.0
399.937500,1.109375,1629792919.0
401.015625,1.078125,1629792919.0
402.125000,1.109375,1629792919.0
403.265625,1.140625,1629792919.0
404.437500,1.171875,1629792919.0
405.546875,1.109375,1629792919.0
406.703125,1.156250,1629792919.0
407.875000,1.171875,1629792919.0
409.046875,1.171875,1629792919.0
410.171875,1.125000,1629792919.0
411.328125,1.156250,1629792919.0
444.515625,1.078125,1629792919.0
445.515625,1.000000,1629792919.0
446.531250,1.015625,1629792919.0
447.546875,1.015625,1629792919.0
448.578125,1.031250,1629792919.0
449.546875,0.968750,1629792919.0
450.562500,1.015625,1629792919.0
451.703125,1.140625,1629792919.0
452.796875,1.093750,1629792919.0
453.875000,1.078125,1629792919.0
454.906250,1.031250,1629792919.0
