HR,start_time_unix,sampling_rate
71.43,1625193219.0,1.0
71.23,1625193219.0,1.0
71.05,1625193219.0,1.0
70.85,1625193219.0,1.0
70.67,1625193219.0,1.0
70.53,1625193219.0,1.0
70.4,1625193219.0,1.0
70.25,1625193219.0,1.0
70.12,1625193219.0,1.0
70.03,1625193219.0,1.0
69.92,1625193219.0,1.0
69.83,1625193219.0,1.0
69.77,1625193219.0,1.0
69.72,1625193219.0,1.0
69.62,1625193219.0,1.0
69.38,1625193219.0,1.0
69.2,1625193219.0,1.0
69.03,1625193219.0,1.0
68.97,1625193219.0,1.0
68.88,1625193219.0,1.0
68.78,1625193219.0,1.0
68.77,1625193219.0,1.0
68.75,1625193219.0,1.0
68.77,1625193219.0,1.0
68.85,1625193219.0,1.0
68.93,1625193219.0,1.0
69.02,1625193219.0,1.0
69.1,1625193219.0,1.0
69.18,1625193219.0,1.0
69.27,1625193219.0,1.0
69.38,1625193219.0,1.0
69.48,1625193219.0,1.0
69.57,1625193219.0,1.0
69.63,1625193219.0,1.0
69.68,1625193219.0,1.0
69.7,1625193219.0,1.0
69.8,1625193219.0,1.0
69.92,1625193219.0,1.0
70.05,1625193219.0,1.0
70.2,1625193219.0,1.0
70.43,1625193219.0,1.0
70.75,1625193219.0,1.0
71.12,1625193219.0,1.0
71.52,1625193219.0,1.0
71.93,1625193219.0,1.0
72.35,1625193219.0,1.0
72.78,1625193219.0,1.0
73.22,1625193219.0,1.0
73.67,1625193219.0,1.0
74.1,1625193219.0,1.0
74.5,1625193219.0,1.0
74.88,1625193219.0,1.0
75.23,1625193219.0,1.0
75.53,1625193219.0,1.0
75.87,1625193219.0,1.0
76.2,1625193219.0,1.0
76.52,1625193219.0,1.0
76.9,1625193219.0,1.0
77.22,1625193219.0,1.0
77.55,1625193219.0,1.0
77.87,1625193219.0,1.0
78.15,1625193219.0,1.0
78.35,1625193219.0,1.0
78.6,1625193219.0,1.0
78.8,1625193219.0,1.0
78.93,1625193219.0,1.0
79.07,1625193219.0,1.0
79.2,1625193219.0,1.0
79.33,1625193219.0,1.0
79.4,1625193219.0,1.0
79.47,1625193219.0,1.0
79.52,1625193219.0,1.0
79.48,1625193219.0,1.0
79.47,1625193219.0,1.0
79.38,1625193219.0,1.0
79.47,1625193219.0,1.0
79.53,1625193219.0,1.0
79.6,1625193219.0,1.0
79.5,1625193219.0,1.0
79.42,1625193219.0,1.0
79.32,1625193219.0,1.0
79.33,1625193219.0,1.0
79.35,1625193219.0,1.0
79.4,1625193219.0,1.0
79.37,1625193219.0,1.0
79.35,1625193219.0,1.0
79.32,1625193219.0,1.0
79.28,1625193219.0,1.0
79.28,1625193219.0,1.0
79.27,1625193219.0,1.0
79.25,1625193219.0,1.0
79.25,1625193219.0,1.0
79.3,1625193219.0,1.0
79.35,1625193219.0,1.0
79.38,1625193219.0,1.0
79.42,1625193219.0,1.0
79.47,1625193219.0,1.0
79.53,1625193219.0,1.0
79.62,1625193219.0,1.0
79.63,1625193219.0,1.0
79.58,1625193219.0,1.0
79.48,1625193219.0,1.0
79.23,1625193219.0,1.0
78.98,1625193219.0,1.0
78.7,1625193219.0,1.0
78.47,1625193219.0,1.0
78.2,1625193219.0,1.0
77.95,1625193219.0,1.0
77.63,1625193219.0,1.0
77.3,1625193219.0,1.0
76.93,1625193219.0,1.0
76.53,1625193219.0,1.0
76.13,1625193219.0,1.0
75.73,1625193219.0,1.0
75.63,1625193219.0,1.0
75.55,1625193219.0,1.0
75.45,1625193219.0,1.0
75.38,1625193219.0,1.0
75.3,1625193219.0,1.0
75.28,1625193219.0,1.0
75.23,1625193219.0,1.0
75.22,1625193219.0,1.0
75.25,1625193219.0,1.0
75.23,1625193219.0,1.0
75.25,1625193219.0,1.0
75.28,1625193219.0,1.0
75.32,1625193219.0,1.0
75.38,1625193219.0,1.0
