IBI_time,IBI_intervals,start_time_unix
64.875000,0.671875,1624262177.0
65.500000,0.625000,1624262177.0
69.718750,0.765625,1624262177.0
70.437500,0.718750,1624262177.0
71.125000,0.687500,1624262177.0
71.796875,0.671875,1624262177.0
72.531250,0.734375,1624262177.0
73.265625,0.734375,1624262177.0
74.125000,0.859375,1624262177.0
74.968750,0.843750,1624262177.0
75.718750,0.750000,1624262177.0
76.578125,0.859375,1624262177.0
77.484375,0.906250,1624262177.0
78.234375,0.750000,1624262177.0
79.234375,1.000000,1624262177.0
79.984375,0.750000,1624262177.0
80.765625,0.781250,1624262177.0
81.546875,0.781250,1624262177.0
82.296875,0.750000,1624262177.0
83.015625,0.718750,1624262177.0
83.703125,0.687500,1624262177.0
127.343750,0.656250,1624262177.0
128.140625,0.796875,1624262177.0
128.750000,0.609375,1624262177.0
129.375000,0.625000,1624262177.0
130.109375,0.734375,1624262177.0
130.734375,0.625000,1624262177.0
131.421875,0.687500,1624262177.0
132.078125,0.656250,1624262177.0
352.781250,0.656250,1624262177.0
353.406250,0.625000,1624262177.0
354.078125,0.671875,1624262177.0
354.718750,0.640625,1624262177.0
355.406250,0.687500,1624262177.0
356.078125,0.671875,1624262177.0
356.781250,0.703125,1624262177.0
357.515625,0.734375,1624262177.0
358.250000,0.734375,1624262177.0
358.968750,0.718750,1624262177.0
359.687500,0.718750,1624262177.0
360.421875,0.734375,1624262177.0
361.125000,0.703125,1624262177.0
361.843750,0.718750,1624262177.0
362.531250,0.687500,1624262177.0
363.218750,0.687500,1624262177.0
363.937500,0.718750,1624262177.0
364.656250,0.718750,1624262177.0
365.421875,0.765625,1624262177.0
366.171875,0.750000,1624262177.0
366.921875,0.750000,1624262177.0
367.671875,0.750000,1624262177.0
368.375000,0.703125,1624262177.0
369.093750,0.718750,1624262177.0
369.750000,0.656250,1624262177.0
373.718750,0.703125,1624262177.0
374.406250,0.687500,1624262177.0
375.125000,0.718750,1624262177.0
375.796875,0.671875,1624262177.0
376.515625,0.718750,1624262177.0
377.265625,0.750000,1624262177.0
377.968750,0.703125,1624262177.0
378.671875,0.703125,1624262177.0
379.406250,0.734375,1624262177.0
380.093750,0.687500,1624262177.0
380.812500,0.718750,1624262177.0
381.515625,0.703125,1624262177.0
