EDA,start_time_unix,sampling_rate
0.0,1624262175.0,4.0
0.390641,1624262175.0,4.0
0.475174,1624262175.0,4.0
0.475174,1624262175.0,4.0
0.479016,1624262175.0,4.0
0.482858,1624262175.0,4.0
0.489262,1624262175.0,4.0
0.495666,1624262175.0,4.0
0.496947,1624262175.0,4.0
0.504632,1624262175.0,4.0
0.511036,1624262175.0,4.0
0.514878,1624262175.0,4.0
0.504632,1624262175.0,4.0
0.496947,1624262175.0,4.0
0.48542,1624262175.0,4.0
0.486701,1624262175.0,4.0
0.476454,1624262175.0,4.0
0.475174,1624262175.0,4.0
0.476454,1624262175.0,4.0
0.476454,1624262175.0,4.0
0.477735,1624262175.0,4.0
0.475174,1624262175.0,4.0
0.473893,1624262175.0,4.0
0.479016,1624262175.0,4.0
0.479016,1624262175.0,4.0
0.475174,1624262175.0,4.0
0.452119,1624262175.0,4.0
0.454681,1624262175.0,4.0
0.457242,1624262175.0,4.0
0.461085,1624262175.0,4.0
0.494385,1624262175.0,4.0
0.50207,1624262175.0,4.0
0.507193,1624262175.0,4.0
0.525124,1624262175.0,4.0
0.514878,1624262175.0,4.0
0.536651,1624262175.0,4.0
0.546898,1624262175.0,4.0
0.549459,1624262175.0,4.0
0.548179,1624262175.0,4.0
0.548179,1624262175.0,4.0
0.545617,1624262175.0,4.0
0.543055,1624262175.0,4.0
0.535371,1624262175.0,4.0
0.549459,1624262175.0,4.0
0.546898,1624262175.0,4.0
0.560987,1624262175.0,4.0
0.575075,1624262175.0,4.0
0.564829,1624262175.0,4.0
0.55074,1624262175.0,4.0
0.541775,1624262175.0,4.0
0.539213,1624262175.0,4.0
0.535371,1624262175.0,4.0
0.53409,1624262175.0,4.0
0.536651,1624262175.0,4.0
0.555863,1624262175.0,4.0
0.564829,1624262175.0,4.0
0.563548,1624262175.0,4.0
0.562267,1624262175.0,4.0
0.603253,1624262175.0,4.0
0.639115,1624262175.0,4.0
0.6801,1624262175.0,4.0
0.657313,1624262175.0,4.0
0.591992,1624262175.0,4.0
0.62145,1624262175.0,4.0
0.631697,1624262175.0,4.0
0.63682,1624262175.0,4.0
0.639382,1624262175.0,4.0
0.632978,1624262175.0,4.0
0.625293,1624262175.0,4.0
0.615047,1624262175.0,4.0
0.6048,1624262175.0,4.0
0.589431,1624262175.0,4.0
0.580465,1624262175.0,4.0
0.576623,1624262175.0,4.0
0.574061,1624262175.0,4.0
0.566376,1624262175.0,4.0
0.558692,1624262175.0,4.0
0.548445,1624262175.0,4.0
0.544603,1624262175.0,4.0
0.536918,1624262175.0,4.0
0.531795,1624262175.0,4.0
0.526672,1624262175.0,4.0
0.525391,1624262175.0,4.0
0.518987,1624262175.0,4.0
0.517706,1624262175.0,4.0
0.510022,1624262175.0,4.0
0.504898,1624262175.0,4.0
0.504898,1624262175.0,4.0
0.552288,1624262175.0,4.0
0.6048,1624262175.0,4.0
0.525391,1624262175.0,4.0
0.502337,1624262175.0,4.0
0.504898,1624262175.0,4.0
0.499775,1624262175.0,4.0
0.501056,1624262175.0,4.0
0.50746,1624262175.0,4.0
0.501056,1624262175.0,4.0
0.489529,1624262175.0,4.0
0.492091,1624262175.0,4.0
0.489529,1624262175.0,4.0
0.488248,1624262175.0,4.0
0.456228,1624262175.0,4.0
0.429332,1624262175.0,4.0
0.429332,1624262175.0,4.0
0.435736,1624262175.0,4.0
0.452386,1624262175.0,4.0
0.451105,1624262175.0,4.0
0.463913,1624262175.0,4.0
0.460071,1624262175.0,4.0
0.469036,1624262175.0,4.0
0.467756,1624262175.0,4.0
0.467756,1624262175.0,4.0
0.467756,1624262175.0,4.0
0.469036,1624262175.0,4.0
0.462632,1624262175.0,4.0
0.463913,1624262175.0,4.0
0.463913,1624262175.0,4.0
0.466475,1624262175.0,4.0
0.467756,1624262175.0,4.0
0.460071,1624262175.0,4.0
0.44342,1624262175.0,4.0
0.44214,1624262175.0,4.0
0.452386,1624262175.0,4.0
0.466475,1624262175.0,4.0
0.502337,1624262175.0,4.0
0.52411,1624262175.0,4.0
0.553569,1624262175.0,4.0
0.613766,1624262175.0,4.0
0.654751,1624262175.0,4.0
0.667559,1624262175.0,4.0
0.703421,1624262175.0,4.0
0.711106,1624262175.0,4.0
0.746968,1624262175.0,4.0
0.763618,1624262175.0,4.0
0.780269,1624262175.0,4.0
0.780269,1624262175.0,4.0
0.793077,1624262175.0,4.0
