IBI_time,IBI_intervals,start_time_unix
12.187500,0.703125,1625340509.0
12.890625,0.703125,1625340509.0
13.640625,0.750000,1625340509.0
14.421875,0.781250,1625340509.0
15.140625,0.718750,1625340509.0
15.875000,0.734375,1625340509.0
16.640625,0.765625,1625340509.0
17.390625,0.750000,1625340509.0
18.062500,0.671875,1625340509.0
18.796875,0.734375,1625340509.0
19.578125,0.781250,1625340509.0
51.953125,0.750000,1625340509.0
52.687500,0.734375,1625340509.0
53.375000,0.687500,1625340509.0
54.109375,0.734375,1625340509.0
54.906250,0.796875,1625340509.0
55.734375,0.828125,1625340509.0
56.515625,0.781250,1625340509.0
57.234375,0.718750,1625340509.0
57.968750,0.734375,1625340509.0
58.718750,0.750000,1625340509.0
59.468750,0.750000,1625340509.0
60.250000,0.781250,1625340509.0
61.015625,0.765625,1625340509.0
61.796875,0.781250,1625340509.0
72.031250,0.734375,1625340509.0
72.765625,0.734375,1625340509.0
73.515625,0.750000,1625340509.0
74.281250,0.765625,1625340509.0
75.031250,0.750000,1625340509.0
75.796875,0.765625,1625340509.0
76.593750,0.796875,1625340509.0
77.359375,0.765625,1625340509.0
78.109375,0.750000,1625340509.0
78.906250,0.796875,1625340509.0
79.734375,0.828125,1625340509.0
86.453125,0.656250,1625340509.0
92.171875,0.671875,1625340509.0
92.828125,0.656250,1625340509.0
93.515625,0.687500,1625340509.0
94.250000,0.734375,1625340509.0
94.968750,0.718750,1625340509.0
95.718750,0.750000,1625340509.0
96.453125,0.734375,1625340509.0
97.218750,0.765625,1625340509.0
97.937500,0.718750,1625340509.0
98.656250,0.718750,1625340509.0
99.312500,0.656250,1625340509.0
99.968750,0.656250,1625340509.0
100.625000,0.656250,1625340509.0
101.343750,0.718750,1625340509.0
102.000000,0.656250,1625340509.0
102.640625,0.640625,1625340509.0
106.640625,0.734375,1625340509.0
107.390625,0.750000,1625340509.0
108.140625,0.750000,1625340509.0
108.843750,0.703125,1625340509.0
109.546875,0.703125,1625340509.0
110.250000,0.703125,1625340509.0
110.984375,0.734375,1625340509.0
111.656250,0.671875,1625340509.0
112.343750,0.687500,1625340509.0
113.015625,0.671875,1625340509.0
113.656250,0.640625,1625340509.0
114.343750,0.687500,1625340509.0
115.046875,0.703125,1625340509.0
115.765625,0.718750,1625340509.0
116.578125,0.812500,1625340509.0
120.734375,0.765625,1625340509.0
121.500000,0.765625,1625340509.0
122.203125,0.703125,1625340509.0
122.937500,0.734375,1625340509.0
123.656250,0.718750,1625340509.0
124.343750,0.687500,1625340509.0
125.062500,0.718750,1625340509.0
125.859375,0.796875,1625340509.0
126.609375,0.750000,1625340509.0
127.375000,0.765625,1625340509.0
128.125000,0.750000,1625340509.0
128.906250,0.781250,1625340509.0
129.609375,0.703125,1625340509.0
130.265625,0.656250,1625340509.0
130.937500,0.671875,1625340509.0
131.609375,0.671875,1625340509.0
132.328125,0.718750,1625340509.0
133.000000,0.671875,1625340509.0
133.687500,0.687500,1625340509.0
134.453125,0.765625,1625340509.0
135.312500,0.859375,1625340509.0
136.062500,0.750000,1625340509.0
136.828125,0.765625,1625340509.0
137.421875,0.593750,1625340509.0
141.281250,0.750000,1625340509.0
142.062500,0.781250,1625340509.0
142.812500,0.750000,1625340509.0
143.515625,0.703125,1625340509.0
144.171875,0.656250,1625340509.0
144.796875,0.625000,1625340509.0
145.437500,0.640625,1625340509.0
146.125000,0.687500,1625340509.0
146.718750,0.593750,1625340509.0
150.734375,0.734375,1625340509.0
160.218750,0.796875,1625340509.0
161.000000,0.781250,1625340509.0
161.750000,0.750000,1625340509.0
162.500000,0.750000,1625340509.0
163.234375,0.734375,1625340509.0
163.953125,0.718750,1625340509.0
164.718750,0.765625,1625340509.0
165.421875,0.703125,1625340509.0
166.187500,0.765625,1625340509.0
173.859375,0.750000,1625340509.0
174.796875,0.937500,1625340509.0
175.625000,0.828125,1625340509.0
176.453125,0.828125,1625340509.0
177.234375,0.781250,1625340509.0
177.937500,0.703125,1625340509.0
178.609375,0.671875,1625340509.0
190.562500,0.671875,1625340509.0
191.296875,0.734375,1625340509.0
192.015625,0.718750,1625340509.0
192.765625,0.750000,1625340509.0
193.562500,0.796875,1625340509.0
194.328125,0.765625,1625340509.0
195.093750,0.765625,1625340509.0
195.875000,0.781250,1625340509.0
196.671875,0.796875,1625340509.0
197.437500,0.765625,1625340509.0
198.171875,0.734375,1625340509.0
198.921875,0.750000,1625340509.0
199.656250,0.734375,1625340509.0
200.343750,0.687500,1625340509.0
201.046875,0.703125,1625340509.0
201.765625,0.718750,1625340509.0
202.562500,0.796875,1625340509.0
203.375000,0.812500,1625340509.0
204.140625,0.765625,1625340509.0
204.906250,0.765625,1625340509.0
205.640625,0.734375,1625340509.0
206.375000,0.734375,1625340509.0
207.140625,0.765625,1625340509.0
207.890625,0.750000,1625340509.0
208.609375,0.718750,1625340509.0
209.359375,0.750000,1625340509.0
210.078125,0.718750,1625340509.0
210.765625,0.687500,1625340509.0
211.437500,0.671875,1625340509.0
212.140625,0.703125,1625340509.0
212.796875,0.656250,1625340509.0
213.484375,0.687500,1625340509.0
214.203125,0.718750,1625340509.0
215.000000,0.796875,1625340509.0
215.781250,0.781250,1625340509.0
216.500000,0.718750,1625340509.0
217.218750,0.718750,1625340509.0
217.984375,0.765625,1625340509.0
218.796875,0.812500,1625340509.0
219.562500,0.765625,1625340509.0
220.328125,0.765625,1625340509.0
221.125000,0.796875,1625340509.0
221.921875,0.796875,1625340509.0
228.812500,0.734375,1625340509.0
229.593750,0.781250,1625340509.0
230.359375,0.765625,1625340509.0
231.125000,0.765625,1625340509.0
231.906250,0.781250,1625340509.0
232.890625,0.984375,1625340509.0
233.703125,0.812500,1625340509.0
234.437500,0.734375,1625340509.0
235.156250,0.718750,1625340509.0
235.906250,0.750000,1625340509.0
236.640625,0.734375,1625340509.0
237.390625,0.750000,1625340509.0
238.171875,0.781250,1625340509.0
238.984375,0.812500,1625340509.0
239.781250,0.796875,1625340509.0
240.531250,0.750000,1625340509.0
241.312500,0.781250,1625340509.0
242.109375,0.796875,1625340509.0
242.859375,0.750000,1625340509.0
243.593750,0.734375,1625340509.0
244.359375,0.765625,1625340509.0
245.140625,0.781250,1625340509.0
245.875000,0.734375,1625340509.0
246.578125,0.703125,1625340509.0
247.328125,0.750000,1625340509.0
248.093750,0.765625,1625340509.0
248.859375,0.765625,1625340509.0
249.687500,0.828125,1625340509.0
250.562500,0.875000,1625340509.0
251.390625,0.828125,1625340509.0
252.171875,0.781250,1625340509.0
252.968750,0.796875,1625340509.0
253.781250,0.812500,1625340509.0
254.593750,0.812500,1625340509.0
255.343750,0.750000,1625340509.0
256.109375,0.765625,1625340509.0
256.906250,0.796875,1625340509.0
257.718750,0.812500,1625340509.0
258.484375,0.765625,1625340509.0
259.187500,0.703125,1625340509.0
259.875000,0.687500,1625340509.0
260.531250,0.656250,1625340509.0
261.234375,0.703125,1625340509.0
262.000000,0.765625,1625340509.0
262.750000,0.750000,1625340509.0
263.531250,0.781250,1625340509.0
264.375000,0.843750,1625340509.0
265.218750,0.843750,1625340509.0
265.984375,0.765625,1625340509.0
266.734375,0.750000,1625340509.0
267.500000,0.765625,1625340509.0
268.250000,0.750000,1625340509.0
268.953125,0.703125,1625340509.0
269.671875,0.718750,1625340509.0
270.437500,0.765625,1625340509.0
271.250000,0.812500,1625340509.0
272.015625,0.765625,1625340509.0
272.781250,0.765625,1625340509.0
273.562500,0.781250,1625340509.0
274.265625,0.703125,1625340509.0
274.968750,0.703125,1625340509.0
275.718750,0.750000,1625340509.0
276.484375,0.765625,1625340509.0
277.250000,0.765625,1625340509.0
278.046875,0.796875,1625340509.0
278.859375,0.812500,1625340509.0
279.625000,0.765625,1625340509.0
280.375000,0.750000,1625340509.0
281.156250,0.781250,1625340509.0
281.953125,0.796875,1625340509.0
282.671875,0.718750,1625340509.0
283.421875,0.750000,1625340509.0
284.218750,0.796875,1625340509.0
284.984375,0.765625,1625340509.0
285.718750,0.734375,1625340509.0
286.468750,0.750000,1625340509.0
287.250000,0.781250,1625340509.0
